# en	cn	en_hits	cn_hits	source	reason
분홍신선택지2	분홍신선택지2	0	1	AbEvents.json	R2 韩文内部键（英中两侧均韩文）
던전 103003 선택지	던전 103003 선택지	0	1	AbEvents.json	R2 韩文内部键（英中两侧均韩文）
던전 103004 선택지 : 짓무름의 의식	던전 103004 선택지 : 짓무름의 의식	0	1	AbEvents.json	R2 韩文内部键（英中两侧均韩文）
던전 103004 선택지 : 속죄의 의식	던전 103004 선택지 : 속죄의 의식	0	1	AbEvents.json	R2 韩文内部键（英中两侧均韩文）
던전 103006 2차 선택지	던전 103006 2차 선택지	0	1	AbEvents.json	R2 韩文内部键（英中两侧均韩文）
늑대선택지1	늑대선택지1	0	1	AbEvents.json	R2 韩文内部键（英中两侧均韩文）
뱀선택지1	뱀선택지1	0	1	AbEvents.json	R2 韩文内部键（英中两侧均韩文）
크로머선택지1	크로머선택지1	0	1	AbEvents.json	R2 韩文内部键（英中两侧均韩文）
크로머선택지2	크로머선택지2	0	1	AbEvents.json	R2 韩文内部键（英中两侧均韩文）
단수어선택지1	단수어선택지1	0	1	AbEvents.json	R2 韩文内部键（英中两侧均韩文）
골목파수견선택지1	골목파수견선택지1	0	1	AbEvents.json	R2 韩文内部键（英中两侧均韩文）
막힌길_뚫기	막힌길_뚫기	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
부적_떼기_북	부적_떼기_북	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
부적_떼기_중앙	부적_떼기_중앙	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
부적_떼기_서	부적_떼기_서	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
부적_떼기_끝	부적_떼기_끝	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
붉은_출입증_획득_전투	붉은_출입증_획득_전투	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
죄수_꽃뜯기	죄수_꽃뜯기	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
환_도박_코인_성공	환_도박_코인_성공	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
환_도박_코인_실패	환_도박_코인_실패	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
죄인_고문	죄인_고문	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
항아리_보기_뽀개기	항아리_보기_뽀개기	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
타임어택_인형_전투	타임어택_인형_전투	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
공포_견디기_내기	공포_견디기_내기	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
붉은_출입증_사용	붉은_출입증_사용	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
가문_기물_획득	가문_기물_획득	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
막바지_보너스_내기_패배	막바지_보너스_내기_패배	0	1	ActionEvents-a1c8p2.json	R2 韩文内部键（英中两侧均韩文）
(더미)	(더미)	0	1	BattleResultHint-a1c9p3.json	R2 韩文内部键（英中两侧均韩文）
~ <font="ExcelsiorSans SDF">{0}</font>	~ <font="ExcelsiorSans SDF">{0}</font>	0	1	RailwayDungeonUI_5.json	R2 同形且中文语料不用（非术语/占位符）
ORIENTATION [EVENT]	ORIENTATION [EVENT]	0	1	SeasonTitle.json	R2 同形且中文语料不用（非术语/占位符）
REMINISCENCE [EVENT]	REMINISCENCE [EVENT]	0	1	SeasonTitle.json	R2 同形且中文语料不用（非术语/占位符）
BON VOYAGE [EVENT]	BON VOYAGE [EVENT]	0	1	SeasonTitle.json	R2 同形且中文语料不用（非术语/占位符）
CLEAR ALL CATHY [EVENT]	CLEAR ALL CATHY [EVENT]	0	1	SeasonTitle.json	R2 同形且中文语料不用（非术语/占位符）
OBLIVION [EVENT]	OBLIVION [EVENT]	0	1	SeasonTitle.json	R2 同形且中文语料不用（非术语/占位符）
Zàng Huā Yín [EVENT]	Zàng Huā Yín [EVENT]	0	1	SeasonTitle.json	R2 同形且中文语料不用（非术语/占位符）
Kumo no ito · oti on akA [EVENT]	Kumo no ito · oti on akA [EVENT]	0	1	SeasonTitle.json	R2 同形且中文语料不用（非术语/占位符）
