# en	cn	en_ids	support	prec	level
HARD	困难难度	1398	138	0.099	suspect
Owned	拥有	198	20	0.101	suspect
Tier	稀有度	539	4	0.007	suspect
The Backstreets	后巷	244	227	0.930	ok
Distortions	扭曲	107	104	0.972	ok
Lust	色欲	366	283	0.773	weak
Attack Power Up	强壮	296	292	0.986	ok
Floor 4	4层	1	1	1.000	ok
Understanding	理解	160	71	0.444	suspect
Enter	进入战斗	915	26	0.028	suspect
Rest	安息	1604	20	0.012	suspect
Unlock	解放	431	73	0.169	suspect
Damage Up	伤害强化	239	234	0.979	ok
Return	返回	895	33	0.037	suspect
Corrosion	侵蚀	230	214	0.930	ok
Hard	Hard	1398	52	0.037	suspect
Offense Level Up	攻击等级提升	254	242	0.953	ok
Gluttony	暴食	259	254	0.981	ok
Easy	简单	330	84	0.255	suspect
Face	面部	1005	9	0.009	suspect
Binding	纽带	496	4	0.008	suspect
The Pinky	小指	251	246	0.980	ok
Bonus	星芒	450	47	0.104	suspect
Sloth	怠惰	245	242	0.988	ok
The LCE	LCE	67	63	0.940	ok
Cost	经费	385	214	0.556	suspect
Ticket	券券	377	47	0.125	suspect
The Golden Boughs	金枝	78	75	0.962	ok
Jade	玉	72	63	0.875	ok
Haste	迅捷	274	198	0.723	weak
Normal	普通	1085	124	0.114	suspect
Thread	纺锤	540	182	0.337	suspect
Mirror Refraction	折射	1	1	1.000	ok
Kromer	克罗默	138	137	0.993	ok
Flesh	血肉	445	66	0.148	suspect
Waiting	等待	318	85	0.267	suspect
Fairy	精灵	220	197	0.895	ok
Gaze	凝视	463	45	0.097	suspect
Run.	跑	43	17	0.395	suspect
The Corridor	走廊	105	98	0.933	ok
Mirror Dungeons	镜像迷宫	93	81	0.871	ok
Observation	观察	191	102	0.534	suspect
LCC	LCC	418	417	0.998	ok
Wuthering Heights	呼啸山庄	236	229	0.970	ok
Loadout	编队	96	88	0.917	ok
The LCC	LCC	34	33	0.971	ok
Les Clous	钉	1	1	1.000	ok
Rage	暴怒	352	7	0.020	suspect
Free	免费	515	105	0.204	suspect
Syndicate	帮派	164	146	0.890	ok
R Corp.	R公司	206	204	0.990	ok
Dimension	次元	428	308	0.720	weak
Lobotomy Corporation	脑叶公司	63	61	0.968	ok
Mephistopheles	梅菲斯托费勒斯	246	238	0.967	ok
Wei	卫	1065	79	0.074	suspect
Defense Level Down	防御等级降低	201	201	1.000	ok
Catherine	凯瑟琳	226	216	0.956	ok
Possibilities	可能性	160	138	0.863	ok
Paralyze	麻痹	181	180	0.994	ok
The Kurokumo Clan	黑云会	44	41	0.932	ok
Grasp	掌	98	27	0.276	suspect
Dark Cloud	黑云	17	15	0.882	ok
Technology Liberation Alliance	技术解放联盟	223	176	0.789	weak
Section 3	第3区段	360	15	0.042	suspect
Hohenheim	霍恩海姆	252	208	0.825	weak
The Blade Lineage	剑契组	44	34	0.773	weak
Tremor Burst	震颤引爆	152	143	0.941	ok
Dawn Office	黎明事务所	176	175	0.994	ok
Limbus Company	边狱公司	216	197	0.912	ok
LCA	LCA	196	187	0.954	ok
Yurodiviye	圣愚	92	88	0.957	ok
Nagel und Hammer	钉与锤	183	182	0.995	ok
Refraction Railway	折射轨道	190	168	0.884	ok
Fear	恐惧	290	118	0.407	suspect
Device	装置	251	83	0.331	suspect
E.G.O Gear	E.G.O装备	194	181	0.933	ok
Care	悉心照料	809	2	0.002	suspect
Butterfly	蝶	134	129	0.963	ok
Collection	收集	156	15	0.096	suspect
Walpurgis Night	瓦尔普吉斯之夜	188	181	0.963	ok
Syndicates	帮派	47	41	0.872	ok
Yuri	尤莉	106	78	0.736	weak
The Wings	翼	43	30	0.698	weak
Enkephalin	脑啡肽	176	173	0.983	ok
Gifts	饰品观测	331	2	0.006	suspect
Buy	购买	117	9	0.077	suspect
Karmic Consequence	业	17	17	1.000	ok
Close	关闭	786	19	0.024	suspect
The Future	未来	116	80	0.690	weak
E.G.O Corrosion	E.G.O侵蚀	168	165	0.982	ok
Encounters	战斗次数	368	1	0.003	suspect
Shop	商店	700	198	0.283	suspect
Section 4	第4区段	301	3	0.010	suspect
Hardblood	硬血	137	137	1.000	ok
Anamnaworm	虫	27	26	0.963	ok
Curse	诅咒	278	97	0.349	suspect
Contempt	轻蔑	182	152	0.835	weak
Baoyu, the Precious Jade	宝玉	3	3	1.000	ok
Jia Xichun	贾惜春	163	154	0.945	ok
Hammer	铁锤	393	6	0.015	suspect
The Inquisitor	审判官	62	58	0.935	ok
Workshops	工坊	25	19	0.760	weak
Nagel	尖钉	184	1	0.005	suspect
NORMAL	普通难度	1085	33	0.030	suspect
Cinq Association	Cinq协会	45	42	0.933	ok
S Corp.	S公司	157	140	0.892	ok
Monsters	怪物	111	89	0.802	weak
Peccatula	罪种	103	99	0.961	ok
Defense Level Up	防御等级提升	140	134	0.957	ok
Cycle	巡回	183	119	0.650	weak
Aggro	挑衅值	199	95	0.477	suspect
Keen Observation	观察	3	3	1.000	ok
Acute Studies	观察	1	1	1.000	ok
Backup	待命人员	147	104	0.707	weak
Bamboo-hatted Kim	金笠	142	140	0.986	ok
LCD	LCD	157	150	0.955	ok
The Beast	野兽	27	5	0.185	suspect
Student	学徒	209	93	0.445	suspect
Sum	总计	1990	21	0.011	suspect
Pirates	海盗	131	99	0.756	weak
Ammo	弹药	124	100	0.806	weak
Assist [援]	援	2	2	1.000	ok
Normal	Normal	1085	3	0.003	suspect
Guaranteed	确定	35	1	0.029	suspect
Hard Difficulty	困难难度	129	112	0.868	ok
Regular	常规	239	58	0.243	suspect
Starlight	星芒	127	124	0.976	ok
Hole	洞	565	55	0.097	suspect
Talisman	符咒	250	98	0.392	suspect
Chain	连续	276	62	0.225	suspect
Butlers	管家	61	49	0.803	weak
Potentialities	可能性	10	10	1.000	ok
Wings	翅膀	251	80	0.319	suspect
Alliance	同盟	254	7	0.028	suspect
Designate Target	指定目标	2	2	1.000	ok
Tears	眼泪	253	65	0.257	suspect
The Cleanup Agent	清扫人员	7	6	0.857	ok
LCB	LCB	145	135	0.931	ok
Marked	标记	129	72	0.558	suspect
Nails	尖钉	140	96	0.686	weak
The Big Brother	幼兄	44	33	0.750	weak
Araya	阿赖耶	127	120	0.945	ok
Future [未來]	未来	8	8	1.000	ok
Shi Family	史家	128	128	1.000	ok
Reset	重置	186	92	0.495	suspect
The Index Nursefather	食指 父辈	137	116	0.847	weak
Corpse	尸体	167	122	0.731	weak
Attack Power Down	虚弱	113	113	1.000	ok
Desire	欲望	232	95	0.409	suspect
Rosespanner Workshop	玫瑰扳手工坊	123	123	1.000	ok
The Pequod	裴廓德号	129	118	0.915	ok
Sancho	桑丘	117	114	0.974	ok
The Great Lake	大湖	123	103	0.837	weak
Cold	寒冷	305	22	0.072	suspect
Into Full Bloom	绽放	1	1	1.000	ok
MultiCrack Office	多裂纹事务所	58	57	0.983	ok
Smoke	烟气	215	24	0.112	suspect
G Corp.	G公司	108	104	0.963	ok
Ambush	袭击	59	14	0.237	suspect
Jia Baoyu	贾宝玉	61	60	0.984	ok
Tree	树	723	92	0.127	suspect
Superiority	优势	11	1	0.091	suspect
Lobotomy Corp. Branch	脑叶公司支部	97	70	0.722	weak
Egoshards	自我碎片	50	50	1.000	ok
Not Enough Cost	经费	2	2	1.000	ok
Ahab	亚哈	107	95	0.888	ok
Jia Qiu	贾丘	96	91	0.948	ok
Anxiety	不安	55	28	0.509	suspect
The Duel	决斗	25	14	0.560	suspect
Power Down	威力降低	182	34	0.187	suspect
L Corp.	L公司	129	86	0.667	weak
Zwei Association	Zwei协会	27	25	0.926	ok
Kindred	眷属	141	118	0.837	weak
Shell	壳	116	78	0.672	weak
Umbrella	伞	95	89	0.937	ok
Fuse	合成	343	77	0.224	suspect
Casino	赌场	106	95	0.896	ok
Liu Association	六协会	40	40	1.000	ok
Docent	讲解员	98	92	0.939	ok
Needle	针	130	98	0.754	weak
Entanglement	纠缠	62	60	0.968	ok
The LCA	LCA	33	29	0.879	ok
School of Fauvism	野兽派	19	19	1.000	ok
Refraction Railways	折射轨道	20	20	1.000	ok
Safety Team	安保部	108	107	0.991	ok
Vengeance	报复	195	38	0.195	suspect
Duello	决斗	3	3	1.000	ok
Mental Awakening	觉醒	2	2	1.000	ok
"It"	鬼	3	3	1.000	ok
Twinhook Pirates	双钩海盗团	106	77	0.726	weak
Weak Morale	士气低落	1	1	1.000	ok
Despair	绝望	119	87	0.731	weak
Hatred	憎恶	115	63	0.548	suspect
Clash Power Up	拼点威力提升	105	82	0.781	weak
Faith	信念	165	24	0.145	suspect
Heishou Pack - Mao Branch	黑兽 - 卯	126	126	1.000	ok
Offense Level Down	攻击等级降低	96	96	1.000	ok
Running	溃退	195	2	0.010	suspect
Buffs	增益	108	50	0.463	suspect
Edgar Family	埃德加家族	101	98	0.970	ok
Night Awls	夜锥组	98	95	0.969	ok
Nail and Hammer	钉与锤	3	3	1.000	ok
Lunacy	狂气	104	104	1.000	ok
Backup	掩护	147	1	0.007	suspect
The LCD	LCD	51	49	0.961	ok
Bloodbag	血袋	126	125	0.992	ok
Determined	觉悟	157	2	0.013	suspect
P Corp.	P公司	93	90	0.968	ok
Doubt	猜疑	244	6	0.025	suspect
Struggle	挣扎	136	34	0.250	suspect
Levelheaded	冷静	1	1	1.000	ok
The LCB	LCB	57	49	0.860	ok
Coffin	棺	100	89	0.890	ok
Theme Pack	主题卡包	101	98	0.970	ok
Yearning	渴望	77	37	0.481	suspect
The Adept	魁首	5	5	1.000	ok
Agitated	愤怒	12	3	0.250	suspect
The Assistant	助手	9	8	0.889	ok
H Corp.	H公司	101	88	0.871	ok
Lobotomy E.G.O	脑叶公司E.G.O	90	90	1.000	ok
Basement	地下室	113	86	0.761	weak
The Backdoor	后门	81	78	0.963	ok
Growing	生长	120	10	0.083	suspect
Audience	观众	81	35	0.432	suspect
Poised	冷静	9	2	0.222	suspect
Colours	颜色	7	7	1.000	ok
Prey	猎物	110	70	0.636	weak
Hunger	饥饿	93	58	0.624	weak
Resentment	仇怨	129	6	0.047	suspect
Clears	清剿	26	3	0.115	suspect
Resentment	怨恨	129	36	0.279	suspect
Discard	丢弃	136	79	0.581	suspect
Hidden	隐藏	74	17	0.230	suspect
Taboo	禁忌	103	96	0.932	ok
Tingtang Gang	豆豆帮	56	55	0.982	ok
Cassetti	卡塞蒂	23	23	1.000	ok
Jia Mu	贾母	118	73	0.619	weak
Focus	聚气	473	4	0.008	suspect
The Waves	浪潮	76	50	0.658	weak
Completed	达成	122	1	0.008	suspect
Full-Stop Office	句点事务所	81	81	1.000	ok
Los Mariachis	流浪乐队	66	66	1.000	ok
Threadspinning	异想解析	60	60	1.000	ok
Blazing	燃烧	20	5	0.250	suspect
Regenerate	再生	42	32	0.762	weak
The Fingers	手指	36	30	0.833	weak
Decaextraction Ticket	十连提取券	82	82	1.000	ok
Effloresced E.G.O	绽放E.G.O	77	74	0.961	ok
Nelly	耐莉	103	96	0.932	ok
Thorns	荆棘	75	32	0.427	suspect
The Barber	理发师	77	77	1.000	ok
Available	可用	142	5	0.035	noise
Trials	苦难	54	31	0.574	suspect
Urge	欲望	221	12	0.054	suspect
Line 2	2号线	98	75	0.765	weak
Lamp	目灯	166	18	0.108	suspect
Identity Training Ticket IV	人格训练券IV	80	80	1.000	ok
Support	呐喊助威	244	1	0.004	suspect
Seven Association	Seven协会	31	30	0.968	ok
Points	点数	104	4	0.038	suspect
Sasha	萨莎	14	14	1.000	ok
The Priest	神父	72	72	1.000	ok
Progress	当前进度	226	5	0.022	suspect
Support	辣喊助威	244	1	0.004	suspect
The Dead Rabbits	死兔帮	39	37	0.949	ok
Inquisitors	异端审判官	56	13	0.232	suspect
Ricardo	里卡多	49	33	0.673	weak
The Laws	规则	34	13	0.382	suspect
Progress	成就进度	226	3	0.013	suspect
Grade 8 Fixers	8阶收尾人	2	2	1.000	ok
Wealth	富	31	14	0.452	suspect
Challenge	挑战	98	28	0.286	suspect
Tribulation	苦难	49	41	0.837	weak
Marked	标识	129	10	0.078	suspect
Lei Heng	雷横	75	72	0.960	ok
Identity Training Ticket III	人格训练券III	75	75	1.000	ok
Mr. Pilot	皮利托	6	6	1.000	ok
Resurrect	复活	11	9	0.818	weak
Activated	已激活	162	8	0.049	suspect
Stigmatized	标记	10	8	0.800	weak
Grace	恩义	190	2	0.011	suspect
Defense Power Up	忍耐	35	33	0.943	ok
Search	饰品观测	851	13	0.015	suspect
Rampage	挣扎	86	2	0.023	suspect
Queequeg	魁魁格	70	67	0.957	ok
Slayer	杀手	22	5	0.227	suspect
Damage Taken	受击之时	136	3	0.022	suspect
First Class	头等舱	59	55	0.932	noise
Details	详情	105	18	0.171	suspect
Singularities	奇点	26	24	0.923	ok
Yield My Flesh	肉斩	66	63	0.955	ok
Achievements	成就	44	36	0.818	weak
Suffering	饱受折磨	163	2	0.012	suspect
Revenge	复仇	34	22	0.647	weak
Zilu	子路	91	70	0.769	weak
The Guide	向导	28	20	0.714	weak
Limbus Pass	边狱通行证	81	56	0.691	weak
Season 5	第5赛季	74	57	0.770	weak
Dieci Association	Dieci协会	22	22	1.000	ok
Accelerating	加速	17	16	0.941	ok
Hindley	亨德利	68	68	1.000	ok
The Outskirts	郊区	69	68	0.986	ok
Pequod Town	裴廓德镇	62	62	1.000	ok
U Corp.	U公司	69	68	0.986	ok
Bloodfeast	血宴	58	57	0.983	ok
Red Eyes	赤瞳	63	36	0.571	suspect
Guides	向导	14	3	0.214	suspect
School	学校	114	31	0.272	suspect
Butterfly of Entangled Lives	罗生蝶	52	52	1.000	ok
Wandering	徘徊	79	17	0.215	suspect
Desirous	渴望	6	6	1.000	ok
Unbending	不动	4	2	0.500	suspect
The Sign	印记	57	20	0.351	suspect
Grace of the Prescript	指令加护	53	53	1.000	ok
The Master	师父	72	1	0.014	suspect
Shi Association	し协会	21	19	0.905	ok
The Indigo Elder	靛蓝老人	15	15	1.000	ok
The Pallid Whale	白鲸	69	66	0.957	ok
Ardor Blossom Moth	红焰蛾	59	58	0.983	ok
Spiral of Contempt	轻蔑螺旋	63	63	1.000	ok
Poison	剧毒	125	43	0.344	suspect
A Guide	向导	9	7	0.778	weak
Devyat' Association	Девять协会	14	13	0.929	ok
Öufi Association	Öufi协会	42	41	0.976	ok
Surgery	手术	23	23	1.000	ok
Season 7	第7赛季	58	58	1.000	ok
Fanghunt Office	猎牙事务所	58	58	1.000	ok
Spark	点燃	125	14	0.112	suspect
Shell	外壳	116	21	0.181	suspect
Nightmare	噩梦	104	46	0.442	suspect
Lightning	雷电	98	14	0.143	suspect
Uncertainty	不确定性	109	6	0.055	suspect
The Library	图书馆	45	40	0.889	ok
Maestro	大师	78	68	0.872	ok
Not Me	不是我	53	3	0.057	suspect
Season 6	第6赛季	64	49	0.766	weak
Petals	花瓣	75	43	0.573	suspect
Big & Scary	可怕	1	1	1.000	ok
Sea Terror	恐鱼	72	70	0.972	ok
Defense Power Down	破绽	41	41	1.000	ok
Timekilling Time	时间杀人时间	60	55	0.917	ok
The Proof	证明	5	3	0.600	weak
Instincts	本能	38	31	0.816	weak
Hardship	苦难	19	5	0.263	suspect
The Time Ripper	时间杀人魔	34	32	0.941	ok
Sack	袋子	158	15	0.095	suspect
Total Turns	累计回合数	75	24	0.320	noise
Blessing	加护	115	18	0.157	suspect
Solitude	孤独	36	29	0.806	weak
Interloper	不速之客	33	27	0.818	weak
Seaborn	海嗣	85	84	0.988	ok
The Contract	契约	108	9	0.083	suspect
Details	详细信息	105	5	0.048	suspect
Purity	纯粹	33	18	0.545	suspect
Gossypium	棉花	47	47	1.000	ok
Extraction Ticket	提取券	92	92	1.000	ok
Awe	敬畏	132	52	0.394	suspect
Resentment	疙瘩	129	1	0.008	suspect
Film	胶片	82	42	0.512	suspect
Damage Down	伤害弱化	43	42	0.977	ok
Hate	憎恶之心	553	1	0.002	suspect
The Client	委托人	38	20	0.526	suspect
Identity Uptying	人格同步	1	1	1.000	ok
Frozen	冻结	39	12	0.308	suspect
Lasso	套索	49	46	0.939	ok
Survivor	幸存者	67	45	0.672	weak
Pursuit	追踪	73	2	0.027	suspect
Determination	觉悟	73	6	0.082	suspect
Blood-tinged Scissorblades	染血的剪刃	26	26	1.000	ok
Responsibility	责任感	102	4	0.039	suspect
Penitence	忏悔	24	22	0.917	ok
Weekly	周常任务	84	2	0.024	suspect
Dead Rabbits Boss	死兔帮 老大	10	7	0.700	weak
Ch'unokkun	推奴人	58	56	0.966	ok
Sweepers	清道夫	40	37	0.925	ok
Blooming	开花	100	19	0.190	suspect
Fruit	果实	93	44	0.473	suspect
Sell	售卖	152	23	0.151	suspect
Season 4	第4赛季	50	50	1.000	ok
Self-charge	自体发电	39	38	0.974	ok
Emptiness	空虚	40	9	0.225	suspect
Palanquin	轿子	57	48	0.842	weak
Legs	腿部	206	8	0.039	suspect
LCB Regular Check-up	LCB定期体检	51	46	0.902	ok
Nocturnal Sweeping	深夜清扫	55	51	0.927	ok
The Battle's End	战斗结束	5	5	1.000	ok
Heishou Pack - Si Branch	黑兽 - 巳	92	90	0.978	ok
Fanatic	狂信	53	49	0.925	ok
Details	详细内容	105	3	0.029	suspect
Portrait	肖像画	83	14	0.169	suspect
Magic Bullet	魔弹	43	43	1.000	ok
Owned	已拥有	198	7	0.035	suspect
Cans	罐头	32	18	0.562	suspect
Ruin	破灭	178	18	0.101	suspect
Heathcliff?	希斯克利夫？	42	18	0.429	suspect
Analytic Eye	分析	1	1	1.000	ok
Observational Eye	分析	1	1	1.000	ok
Tieqiu Crew	铁工会	42	41	0.976	ok
Refresh	刷新	71	43	0.606	weak
Bud	花蕾	240	15	0.062	suspect
Details	详细情报	105	2	0.019	suspect
Immobilized	无法行动	32	27	0.844	weak
Season 3	第3赛季	46	46	1.000	ok
Bloodied Hand	染血之手	26	25	0.962	ok
Candy	糖果	78	48	0.615	weak
The Terminus	终点站	44	34	0.773	weak
Nervous	焦虑	155	5	0.032	suspect
The Uninvited	不速之客	9	9	1.000	ok
Max Speed +1	最大速度值+1	55	55	1.000	ok
Skip	脱离	49	1	0.020	suspect
Cycle Count	巡回数	58	58	1.000	ok
Pity	怜悯	74	21	0.284	suspect
Map	地图	59	50	0.847	weak
Louse	虫子	2	2	1.000	ok
Fell Bullet	凶弹	36	36	1.000	ok
Pilgrimage of Compassion	善意的巡礼	52	36	0.692	weak
Shock	感电	141	3	0.021	suspect
The Chain	锁链	43	23	0.535	suspect
Loyalty	忠义	58	31	0.534	suspect
to Unlock	通过主线剧情	68	3	0.044	suspect
Owned	已持有	198	4	0.020	suspect
Adaptation	适应	23	23	1.000	ok
Kezhan	客栈	48	47	0.979	ok
Dihui Star	地慧星	40	39	0.975	ok
Keenness	锐利	7	3	0.429	suspect
Powerless	无力	15	9	0.600	weak
Hook Office	吊钩事务所	43	43	1.000	ok
Multitude of Dots	点点	2	2	1.000	ok
Line 4	4号线	41	39	0.951	ok
Telepole	电线杆	36	36	1.000	ok
Vanguard Team	先锋队	76	6	0.079	suspect
The Pawnshop	当铺	9	7	0.778	weak
Smoke War	烟霾战争	46	45	0.978	ok
Tail	尾部	521	10	0.019	suspect
Enkephalin Module	脑啡肽模块	55	53	0.964	ok
Identity Training Ticket I	人格训练券I	88	88	1.000	ok
Line 1	1号线	42	40	0.952	ok
N Corp. New League of Nine Littérateurs	N公司 新九人会	87	82	0.943	ok
Parallel Superposition	平行叠加	37	37	1.000	ok
Reflectrial	映射战斗	41	37	0.902	ok
Harpoons	鱼叉	14	7	0.500	suspect
Ember	火种	959	35	0.036	suspect
Struggle	苦斗	136	1	0.007	suspect
The First Mate	大副	12	12	1.000	noise
Every World	所有世界	45	36	0.800	noise
Xiren	袭人	47	47	1.000	ok
Heishou Pack - You Branch	黑兽 - 酉	65	65	1.000	ok
Faelantern	精灵提灯	38	38	1.000	ok
Vexation	不快	5	5	1.000	ok
High Noon	正午	21	19	0.905	ok
Resilient	强韧	41	33	0.805	weak
Fairy Wine	精灵酒	34	34	1.000	ok
Line 5	5号线	39	39	1.000	ok
The Subject	拍摄对象	87	1	0.011	suspect
Declared Duel	决斗宣告	28	28	1.000	ok
Unbreakable Coin	不可摧毁的硬币	85	85	1.000	ok
Daily	日常任务	70	2	0.029	suspect
Reunion	再会	42	15	0.357	suspect
The Church	教团	38	21	0.553	suspect
Relief	安心	80	12	0.150	suspect
Tipsy	醉意	36	36	1.000	ok
Pocket Watch	怀表	32	30	0.938	ok
Mnestic Experience	经验记忆	39	36	0.923	ok
Offense Level +1	攻击等级+1	100	82	0.820	weak
Hit the Road	旅途	2	1	0.500	suspect
Witnessing	观望	22	5	0.227	suspect
Miseries	不幸	6	2	0.333	suspect
Immobilize	无法行动	39	29	0.744	weak
Adversity	制约	29	18	0.621	weak
Lei Heng [雷橫]	雷横	3	3	1.000	ok
Organizing	整理	6	5	0.833	weak
Color Fixer	特色	32	30	0.938	ok
Guilt	负罪感	60	29	0.483	suspect
Slash Power Up	斩击威力提升	36	36	1.000	ok
Weekly Bonuses	每周加成	28	24	0.857	ok
Total Turns	最终累计回合	75	1	0.013	noise
Application	入职	24	1	0.042	suspect
Morale Boost	昂扬	28	27	0.964	ok
Identity Training Ticket II	人格训练券II	77	77	1.000	ok
Vessel Masas	大众号	37	37	1.000	ok
Doomsday Calendar	终末日历	39	39	1.000	ok
Bugger…	妈的…	5	3	0.600	weak
Purification	净化	12	12	1.000	ok
Regeneration Ampules	再生安瓿	21	20	0.952	ok
Wayfarer	旅者	52	31	0.596	suspect
Capture	捕获	77	14	0.182	suspect
Miracle in District 20	20区的奇迹	37	33	0.892	ok
The Red Gaze	猩红视线	32	30	0.938	ok
Line 6	6号线	38	35	0.921	ok
Monolith	独石	45	43	0.956	ok
Assist Defense	援护防御	27	26	0.963	ok
Withered	衰老	30	22	0.733	weak
Maddened	疯狂	5	5	1.000	ok
Aida	艾达	9	9	1.000	ok
Backing	援护	17	1	0.059	suspect
Determination	决意	73	6	0.082	suspect
Erlking	魔王	23	22	0.957	ok
Wayward	彷徨	30	2	0.067	suspect
The Smoke War	烟霾战争	30	30	1.000	ok
Charge Barrier	充能力场	28	27	0.964	ok
Control Team Captain	控制部队长	61	11	0.180	suspect
Anguish	烦恼	24	8	0.333	suspect
Bridle	枷锁	26	14	0.538	suspect
Roots	根部	57	13	0.228	suspect
Line 3	3号线	37	35	0.946	ok
Deactivate	关闭	32	1	0.031	suspect
Yihongyuan	怡红院	37	36	0.973	ok
Molar Office	臼齿事务所	35	35	1.000	ok
Pallidified	白化	32	16	0.500	suspect
Blind Obsession	盲目	24	24	1.000	ok
Welfare Team Captain	福利部队长	59	10	0.169	suspect
Twining Threads	绞丝结线	35	31	0.886	ok
