# Limbus Company 英→中术语表（来源：官方术语文件 + 零协会汉化，四语 id 对齐）
# en	cn	出现次数(en+cn)	source
Gift	礼物	931	EGOgift_MirrorDungeon-EventTheme_2.json
Ready [待]	待	924	BattleKeywords.json
Fragile	易损	898	BattleKeywords.json
LCE	LCE	892	UnitKeyword.json
Enhance	强化	890	MirrorDungeonUI_6.json
Power Up	威力提升	884	BattleKeywords.json
Continue	继续	877	RailwayDungeonUI_2.json
Memories	记忆	877	StageNode91-25.json
The Past	过去	876	RailwayDungeonUI_6.json
The Hierarch of Hongyuan	鸿园的家主	871	Passives_Assist-Cultivation.json
Wrath	暴怒	855	Passives.json
Activate	发动	852	DanteAbilityUIText.json
Jia Family	贾家	841	UnitKeyword-a1c7p2.json
The Thumb	拇指	834	StageNode-a1c8p1.json
Offices	事务所	830	StoryTheaterDanteNote_2.json
Protection	守护	825	BattleKeywords.json
Prescript	指令	821	BattleKeywords-a1c9p1.json
Bloodfiends	血魔	817	StageNode91-10.json
The Index	食指	797	StageNode-a1c9p3.json
The City	都市	791	StoryTheaterDanteNote.json
Bind	束缚	784	BattleKeywords.json
Gloom	忧郁	767	Passives.json
Envy	嫉妒	766	Passives.json
Refraction	折射	762	Passives.json
Blade Lineage	剑契组	751	ActionEvents_exme.json
The House of Spiders	蜘蛛巢	747	StoryTheaterDanteNote_11.json
Gaze	视线	744	BattleKeywords-a1c8p3.json
The Nests	巢	707	StoryTheaterDanteNote.json
Heishou Packs	黑兽	692	StoryTheaterDanteNote_10.json
The Heishou Pack	黑兽	690	StageNode91-16.json
Kurokumo Clan	黑云会	687	AssociationName.json
Vergilius	维吉里乌斯	668	Enemies-a1c6p3.json
Pride	傲慢	655	Passives.json
W Corp.	W公司	647	StoryTheaterDanteNote_3.json
The Golden Bough	金枝	641	StageNode-a1c6p3.json
The Backstreets	后巷	627	StoryTheaterDanteNote.json
Distortions	扭曲	620	StoryTheaterDanteNote_6.json
Lust	色欲	613	Passives.json
Attack Power Up	强壮	606	BattleKeywords.json
Floor 4	4层	606	MirrorDungeonUI_4.json
Rest	安息	587	EGOgift_walpu4.json
Damage Up	伤害强化	572	BattleKeywords.json
Corrosion	侵蚀	550	Passives_Abnormality-walpu4.json
Offense Level Up	攻击等级提升	542	BattleKeywords.json
Gluttony	暴食	539	Passives.json
Binding	纽带	534	StageNode1-4.json
The Pinky	小指	528	StageNode-a1c9p3.json
Sloth	怠惰	511	Passives.json
The LCE	LCE	511	StoryTheaterDanteNote_9.json
The Golden Boughs	金枝	504	StoryTheaterDanteNote.json
Haste	迅捷	500	BattleKeywords.json
Thread	纺锤	490	Items.json
Mirror Refraction	折射	488	Bufs_Refraction2.json
Kromer	克罗默	483	AbnormalityGuides.json
Flesh	血肉	480	Enemies_Refraction2.json
Fairy	精灵	475	Enemies_Refraction2.json
Gaze	凝视	470	BattleKeywords.json
The Corridor	走廊	469	StageNode-a1c6p1.json
Mirror Dungeons	镜像迷宫	468	StoryTheaterDanteNote_4.json
Observation	观察	462	Passives_Abnormality-a1c9p3.json
Wuthering Heights	呼啸山庄	455	StageNode-a1c6p1.json
The LCC	LCC	447	StoryTheaterDanteNote.json
Rage	暴怒	438	BattleKeywords.json
Syndicate	帮派	425	UnitKeyword.json
R Corp.	R公司	422	StoryTheaterDanteNote_3.json
Dimension	次元	421	Enemies_Refraction2.json
Lobotomy Corporation	脑叶公司	420	StoryTheaterDanteNote_2.json
Mephistopheles	梅菲斯托费勒斯	418	StoryTheaterDanteNote_4.json
Defense Level Down	防御等级降低	412	BattleKeywords.json
Catherine	凯瑟琳	408	StageNode-a1c6p1.json
Possibilities	可能性	406	StageNode1-0.json
Paralyze	麻痹	403	BattleKeywords.json
The Kurokumo Clan	黑云会	401	StoryTheaterDanteNote.json
Grasp	掌	398	BattleKeywords-a1c8p3.json
Dark Cloud	黑云	398	BattleKeywords.json
Technology Liberation Alliance	技术解放联盟	398	StageNode1-4.json
Section 3	第3区段	392	RailwayDungeonUI_4.json
Hohenheim	霍恩海姆	392	StageNode91-14.json
The Blade Lineage	剑契组	387	StoryTheaterDanteNote.json
Tremor Burst	震颤引爆	385	BattleKeywords.json
Dawn Office	黎明事务所	385	BattleKeywords.json
Limbus Company	边狱公司	382	StoryTheaterDanteNote.json
LCA	LCA	377	UnitKeyword.json
Yurodiviye	圣愚	376	AbEvents-tktRe.json
Nagel und Hammer	钉与锤	373	MirrorDungeonTheme-1.json
Refraction Railway	折射轨道	371	RailwayDungeonUI.json
Fear	恐惧	370	BattleKeywords.json
Device	装置	370	Enemies-pilgrimage.json
E.G.O Gear	E.G.O装备	369	UnitKeyword.json
Care	悉心照料	367	Passives_Abnormality.json
Butterfly	蝶	366	BattleKeywords-walpu4.json
Collection	收集	365	MirrorDungeonUI_5_InfinityFloor.json
Walpurgis Night	瓦尔普吉斯之夜	364	SeasonTitle.json
Syndicates	帮派	363	StoryTheaterDanteNote.json
Yuri	尤莉	356	StageNode1-1.json
The Wings	翼	356	StoryTheaterDanteNote.json
Enkephalin	脑啡肽	355	StageNode1-1.json
Gifts	饰品观测	353	
Karmic Consequence	业	348	BattleKeywords-a1c9p1.json
The Future	未来	338	RailwayDungeonUI_6.json
E.G.O Corrosion	E.G.O侵蚀	336	Bufs.json
Encounters	战斗次数	335	MirrorDungeonUI_3.json
Shop	商店	333	MirrorDungeonUI_2.json
Section 4	第4区段	330	RailwayDungeonUI_4.json
Hardblood	硬血	322	BattleKeywords-a1c7p3.json
Anamnaworm	虫	322	StoryTheaterDanteNote_11.json
Curse	诅咒	318	BattleKeywords.json
Contempt	轻蔑	317	BattleKeywords-a1c8p3.json
Baoyu, the Precious Jade	宝玉	317	Enemies-a1c8p3.json
Jia Xichun	贾惜春	316	StageNode-a1c8p1.json
Hammer	铁锤	315	EGOgift_StoryDungeon.json
The Inquisitor	审判官	312	StageNode91-20.json
Workshops	工坊	310	StoryTheaterDanteNote_5.json
Nagel	尖钉	307	EGOgift_StoryDungeon.json
Cinq Association	Cinq协会	305	StoryTheaterDanteNote_2.json
Offense Level Up	攻击等级强化	304	BattleKeywords_Mirror3.json
S Corp.	S公司	304	StoryTheaterDanteNote_6.json
Monsters	怪物	299	StoryTheaterDanteNote_5.json
Peccatula	罪种	298	StoryTheaterDanteNote_6.json
Defense Level Up	防御等级提升	297	BattleKeywords.json
Cycle	巡回	297	Bufs.json
Aggro	挑衅值	295	BattleKeywords.json
Keen Observation	观察	294	Passives.json
Acute Studies	观察	292	Passives.json
Backup	待命人员	289	RailwayDungeonUI_4.json
Bamboo-hatted Kim	金笠	289	StageNode91-7.json
The Beast	野兽	287	StageNode-a1c6p2.json
Student	学徒	286	UnitKeyword.json
Sum	总计	282	MirrorDungeonUI_6.json
Pirates	海盗	282	StageNode-a1c5p1.json
Ammo	弹药	279	BattleKeywords.json
Assist [援]	援	279	BattleKeywords.json
Guaranteed	确定	273	MirrorDungeonUI_4.json
Hard Difficulty	困难难度	273	MirrorDungeonUI_6.json
Regular	常规	271	BattlePass.json
Starlight	星芒	271	MirrorDungeonUI_2.json
Hole	洞	269	StageNode1-4.json
Talisman	符咒	267	BattleKeywords.json
Chain	连续	267	RailwayDungeonUI_4.json
Butlers	管家	267	StageNode-a1c6p1.json
Potentialities	可能性	266	EGOgift_MirrorDungeon_7.json
Wings	翅膀	266	Enemies_Refraction3.json
Alliance	同盟	265	StageNode91-16.json
Designate Target	指定目标	263	Passives.json
Tears	眼泪	260	BattleKeywords.json
The Cleanup Agent	清扫人员	259	StageNode91-10.json
LCB	LCB	259	UnitKeyword.json
Marked	标记	258	BattleKeywords.json
Nails	尖钉	258	BattleKeywords.json
The Big Brother	幼兄	256	Passives-BossRaid.json
Araya	阿赖耶	256	StageNode-a1c9p3.json
Shi Family	史家	255	UnitKeyword-a1c8p2.json
Reset	重置	253	MirrorDungeonUI_6.json
The Index Nursefather	食指 父辈	253	Passives.json
Corpse	尸体	252	KeywordDictionary.json
Attack Power Down	虚弱	251	BattleKeywords.json
Desire	欲望	250	Enemies.json
Rosespanner Workshop	玫瑰扳手工坊	248	UnitKeyword.json
The Pequod	裴廓德号	246	UnitKeyword.json
Sancho	桑丘	244	Enemies-a1c7p3.json
The Great Lake	大湖	244	StoryTheaterDanteNote_5.json
Cold	寒冷	243	BattleKeywords-pilgrimage.json
Into Full Bloom	绽放	243	Passives_Abnormality.json
MultiCrack Office	多裂纹事务所	242	StageNode91-10.json
Smoke	烟气	238	BattleKeywords-walpu5.json
G Corp.	G公司	238	KeywordDictionary.json
Ambush	袭击	236	StageNode91-16.json
Jia Baoyu	贾宝玉	232	StageNode-a1c8p1.json
Tree	树	230	Enemies.json
Superiority	优势	227	Passives_Abnormality-a1c6p3.json
Lobotomy Corp. Branch	脑叶公司支部	226	UnitKeyword.json
Egoshards	自我碎片	225	Items.json
Not Enough Cost	经费	225	
Ahab	亚哈	224	ActionEvents-a1c5p3.json
Jia Qiu	贾丘	224	BattleKeywords-a1c8p2.json
Anxiety	不安	224	Passives_Abnormality_Refraction2.json
The Duel	决斗	224	StageNode91-16.json
Power Down	威力降低	222	BattleKeywords.json
L Corp.	L公司	222	StoryTheaterDanteNote.json
Zwei Association	Zwei协会	222	StoryTheaterDanteNote_8.json
Kindred	眷属	221	UnitKeyword-a1c7p1.json
Shell	壳	220	Enemies-a1c5p3.json
Umbrella	伞	219	Enemies-a1c5p1.json
Fuse	合成	218	MirrorDungeonUI_3.json
Casino	赌场	218	StageNode1-2.json
Liu Association	六协会	216	StoryTheaterDanteNote_2.json
Docent	讲解员	216	UnitKeyword.json
Needle	针	215	BattleKeywords.json
Entanglement	纠缠	214	BattleKeywords.json
The LCA	LCA	213	StoryTheaterDanteNote_6.json
School of Fauvism	野兽派	212	UnitKeyword.json
Refraction Railways	折射轨道	210	StoryTheaterDanteNote_4.json
Safety Team	安保部	209	ActionEvents-walpu4.json
Vengeance	报复	208	BattleKeywords-a1c5p2.json
Duello	决斗	206	Passives_Abnormality-a1c9p1.json
Mental Awakening	觉醒	203	BattleKeywords-cultivation.json
"It"	鬼	201	BattleKeywords_Refraction6.json
Twinhook Pirates	双钩海盗团	201	UnitKeyword.json
Weak Morale	士气低落	200	Passives_Enemy.json
Despair	绝望	198	BattleKeywords-walpu6.json
Hatred	憎恶	198	Bufs-a1c6p2.json
Clash Power Up	拼点威力提升	197	BattleKeywords-tkt.json
Faith	信念	197	EGOgift_MirrorDungeon.json
Heishou Pack - Mao Branch	黑兽 - 卯	197	UnitKeyword.json
Offense Level Down	攻击等级降低	196	BattleKeywords.json
Running	溃退	196	Bufs.json
Buffs	增益	196	RailwayDungeonUI_5.json
Edgar Family	埃德加家族	196	UnitKeyword.json
Night Awls	夜锥组	195	UnitKeyword.json
Nail and Hammer	钉与锤	194	EGOgift_MirrorDungeon_7.json
Backup	掩护	194	Passives.json
The LCD	LCD	193	StoryTheaterDanteNote_6.json
Bloodbag	血袋	192	Passives_Enemy-a1c7p1.json
Determined	觉悟	190	BattleKeywords.json
P Corp.	P公司	190	StoryTheaterDanteNote_8.json
Doubt	猜疑	189	StageNode-a1c9p1.json
Struggle	挣扎	188	BattleKeywords.json
Levelheaded	冷静	187	Passives.json
The LCB	LCB	187	StoryTheaterDanteNote.json
Coffin	棺	186	BattleKeywords.json
Theme Pack	主题卡包	186	MirrorDungeonUI_5.json
Yearning	渴望	185	Passives_Abnormality_Refraction5.json
The Adept	魁首	185	StageNode91-19.json
Agitated	愤怒	184	Bufs.json
The Assistant	助手	182	StageNode91-14.json
H Corp.	H公司	182	StoryTheaterDanteNote_10.json
Lobotomy E.G.O	脑叶公司E.G.O	180	Passives_Abnormality.json
Basement	地下室	180	StageNode91-25.json
Starlight	星芒奖励	179	MirrorDungeonUI_3.json
The Backdoor	后门	179	StoryTheaterDanteNote_4.json
Growing	生长	176	BattleKeywords.json
Audience	观众	175	StageNode-a1c9p2.json
Poised	冷静	174	Passives.json
Colours	颜色	174	StageNode-a1c6p1.json
Prey	猎物	173	BattleKeywords-BossRaid.json
Hunger	饥饿	173	BattleKeywords-a1c7p1.json
Resentment	仇怨	173	BattleKeywords.json
Clears	清剿	173	MirrorDungeonUI_5_InfinityFloor.json
Resentment	怨恨	170	BattleKeywords-exme.json
Discard	丢弃	169	BattleKeywords.json
Hidden	隐藏	169	MirrorDungeonUI_6_Achievement.json
Taboo	禁忌	169	StageNode1-3.json
Tingtang Gang	豆豆帮	169	UnitKeyword.json
Cassetti	卡塞蒂	168	AbnormalityGuides-mowe.json
Jia Mu	贾母	168	Enemies-a1c8p3.json
Focus	聚气	167	Passives_Abnormality-a1c8p2.json
The Waves	浪潮	167	StageNode-a1c5p1.json
Completed	达成	166	MirrorDungeonUI_6.json
Full-Stop Office	句点事务所	166	UnitKeyword-a1c7p1.json
Los Mariachis	流浪乐队	166	UnitKeyword.json
Threadspinning	异想解析	164	StoryTheaterDanteNote_3.json
Blazing	燃烧	163	BattleKeywords.json
Regenerate	再生	163	BattleKeywords_Refraction2.json
The Fingers	手指	163	StageNode-a1c9p1.json
Decaextraction Ticket	十连提取券	161	Items.json
Effloresced E.G.O	绽放E.G.O	160	StoryTheaterDanteNote_13.json
Nelly	耐莉	159	AbEvents-a1c6p3.json
Thorns	荆棘	159	BattleKeywords-a1c7p2.json
The Barber	理发师	159	Enemies-a1c7p3.json
Available	可用	159	MirrorDungeonUI_6.json
Trials	苦难	157	MirrorDungeonUI_5.json
Urge	欲望	155	BattleKeywords.json
Line 2	2号线	155	MirrorDungeonTheme-1.json
Lamp	目灯	153	BattleKeywords-a1c9p3.json
Identity Training Ticket IV	人格训练券IV	153	Items.json
Support	呐喊助威	152	Passives.json
Seven Association	Seven协会	152	StoryTheaterDanteNote_5.json
Points	点数	151	MirrorDungeonUI_5.json
Sasha	萨莎	150	AbnormalityGuides-mowe.json
The Priest	神父	150	Enemies-a1c7p3.json
Support	辣喊助威	150	Passives-x1p1c1.json
The Dead Rabbits	死兔帮	149	StageNode-a1c6p1.json
Inquisitors	异端审判官	149	StageNode1-3.json
Ricardo	里卡多	148	Enemies-a1c5p2.json
The Laws	规则	148	StageNode-a1c5p1.json
Grade 8 Fixers	8阶收尾人	146	StageNode1-1.json
Defense Level Up	防御等级强化	145	BattleKeywords_Mirror3.json
Wealth	富	145	EGOgift_MirrorDungeon_6.json
Challenge	挑战	145	MirrorDungeonUI_6.json
Tribulation	苦难	144	BattleKeywords-BossRaid.json
Marked	标识	143	BattleKeywords-a1c5p3.json
Lei Heng	雷横	143	Enemies-a1c8p3.json
Identity Training Ticket III	人格训练券III	143	Items.json
Mr. Pilot	皮利托	143	StageNode-a1c5p1.json
Resurrect	复活	142	Bufs.json
Activated	已激活	141	MirrorDungeonUI_2.json
Stigmatized	标记	140	BattleKeywords-a1c8p3.json
Grace	恩义	139	Passives_Abnormality-a1c9p1.json
Defense Power Up	忍耐	138	BattleKeywords.json
Search	饰品观测	137	
Rampage	挣扎	136	BattleKeywords-a1c8p3.json
Queequeg	魁魁格	136	Enemies-a1c5p3.json
Slayer	杀手	136	Passives.json
Damage Taken	受击之时	136	Passives_Abnormality-cultivation.json
First Class	头等舱	136	StageNode91-10.json
Details	详情	135	MirrorDungeonUI_3.json
Singularities	奇点	135	StoryTheaterDanteNote_2.json
Yield My Flesh	肉斩	134	ActionEvents_Mirror7.json
Achievements	成就	133	MirrorDungeonUI_5_InfinityFloor.json
Suffering	饱受折磨	132	Passives.json
Revenge	复仇	131	Bufs-a1c6p2.json
Zilu	子路	131	Enemies-a1c8p2.json
The Guide	向导	131	Passives_Assist-a1c9p3.json
Limbus Pass	边狱通行证	130	BattlePass.json
Season 5	第5赛季	130	SeasonTitle.json
Dieci Association	Dieci协会	130	StoryTheaterDanteNote_4.json
Accelerating	加速	128	Bufs.json
Hindley	亨德利	128	Enemies-a1c6p2.json
The Outskirts	郊区	128	StoryTheaterDanteNote_5.json
Pequod Town	裴廓德镇	126	DungeonArea-a1c5p3.json
U Corp.	U公司	126	StoryTheaterDanteNote_5.json
Bloodfeast	血宴	125	BattleKeywords-a1c7p1.json
Red Eyes	赤瞳	123	BattleKeywords-walpu4.json
Guides	向导	123	StageNode1-1.json
School	学校	123	StageNode91-25.json
Butterfly of Entangled Lives	罗生蝶	122	AbnormalityGuides_Refraction6.json
Wandering	徘徊	122	BattleKeywords.json
Desirous	渴望	121	BattleKeywords.json
Unbending	不动	121	EGOgift_MirrorDungeon-EventTheme.json
The Sign	印记	121	StoryTheaterDanteNote_12.json
Grace of the Prescript	指令加护	120	BattleKeywords-a1c9p1.json
The Master	师父	120	StageNode91-19.json
Shi Association	し协会	120	StoryTheaterDanteNote_2.json
The Indigo Elder	靛蓝老人	119	StageNode-a1c5p2.json
The Pallid Whale	白鲸	119	StageNode-a1c5p2.json
Ardor Blossom Moth	红焰蛾	118	AbEvents-a1c9p2.json
Spiral of Contempt	轻蔑螺旋	118	AbEvents_Refraction3.json
Poison	剧毒	118	BattleKeywords.json
A Guide	向导	118	StageNode91-16.json
Devyat' Association	Девять协会	118	StoryTheaterDanteNote_5.json
Öufi Association	Öufi协会	118	UnitKeyword.json
Surgery	手术	117	BattleKeywords.json
Season 7	第7赛季	117	SeasonTitle.json
Fanghunt Office	猎牙事务所	117	UnitKeyword-a1c7p1.json
Spark	点燃	116	BattleKeywords_Refraction3.json
Shell	外壳	116	Enemies91-4.json
Nightmare	噩梦	116	Passives_Abnormality-a1c6p3.json
Lightning	雷电	115	BattleKeywords.json
Uncertainty	不确定性	115	StageNode91-10.json
The Library	图书馆	115	StoryTheaterDanteNote_5.json
Maestro	大师	115	UnitKeyword.json
Not Me	不是我	113	Passives_Abnormality_Refraction5.json
Season 6	第6赛季	113	SeasonTitle.json
Petals	花瓣	112	BattleKeywords.json
Big & Scary	可怕	112	Passives_Enemy-a1c7p1.json
Sea Terror	恐鱼	112	UnitKeyword-pilgrimage.json
Defense Power Down	破绽	111	BattleKeywords.json
Timekilling Time	时间杀人时间	110	MirrorDungeonTheme-1.json
The Proof	证明	110	StageNode91-19.json
Instincts	本能	109	BattleKeywords-Refraction1BokGak.json
Hardship	苦难	109	EGOgift_walpu4.json
The Time Ripper	时间杀人魔	108	AbnormalityGuides-tkt.json
Sack	袋子	108	Passives_Abnormality-a1c6p3.json
Total Turns	累计回合数	108	RailwayDungeonUI.json
Blessing	加护	107	BattleKeywords-walpu6.json
Solitude	孤独	107	BattleKeywords.json
Interloper	不速之客	107	BattleKeywords_Refraction4.json
Seaborn	海嗣	107	Passives_Abnormality-pilgrimage.json
The Contract	契约	107	StageNode-a1c9p2.json
Details	详细信息	106	RailwayDungeonUI_5.json
Purity	纯粹	105	BattleKeywords.json
Gossypium	棉花	105	BattleKeywords_Refraction3.json
Extraction Ticket	提取券	105	Items.json
Awe	敬畏	104	EGOgift_MirrorDungeon.json
Resentment	疙瘩	104	Enemies.json
Film	胶片	104	StageNode91-27.json
Damage Down	伤害弱化	103	BattleKeywords.json
Hate	憎恶之心	102	Passives_Abnormality-a1c8p2.json
The Client	委托人	102	StageNode1-4.json
Identity Uptying	人格同步	102	StoryTheaterDanteNote_3.json
Frozen	冻结	101	BattleKeywords-pilgrimage.json
Lasso	套索	101	BattleKeywords.json
Survivor	幸存者	101	StageNode91-25.json
Pursuit	追踪	101	StageNode91-27.json
Determination	觉悟	100	BattleKeywords-a1c6p3.json
Blood-tinged Scissorblades	染血的剪刃	100	BattleKeywords-a1c7p1.json
Responsibility	责任感	100	BattleKeywords-a1c8p3.json
Penitence	忏悔	99	BattleKeywords-walpu4.json
Weekly	周常任务	99	BattlePass.json
Dead Rabbits Boss	死兔帮 老大	99	Enemies-a1c6p2.json
Ch'unokkun	推奴人	99	Passives.json
Sweepers	清道夫	99	StoryTheaterDanteNote_10.json
Blooming	开花	98	BattleKeywords.json
Fruit	果实	98	Enemies.json
Season 4	第4赛季	98	SeasonTitle.json
Self-charge	自体发电	97	BattleKeywords.json
Emptiness	空虚	97	BattleKeywords.json
Palanquin	轿子	97	Enemies-a1c8p3.json
Legs	腿部	97	Enemies.json
LCB Regular Check-up	LCB定期体检	97	MirrorDungeonTheme-1.json
Nocturnal Sweeping	深夜清扫	97	MirrorDungeonTheme-1.json
The Battle's End	战斗结束	97	Passives_Abnormality-a1c8p2.json
Heishou Pack - Si Branch	黑兽 - 巳	97	UnitKeyword.json
Fanatic	狂信	96	BattleKeywords.json
Details	详细内容	96	MirrorDungeonUI_6.json
Portrait	肖像画	95	AbnormalityGuides_Refraction4.json
Magic Bullet	魔弹	95	BattleKeywords.json
Cans	罐头	95	StageNode91-27.json
Ruin	破灭	94	BattleKeywords.json
Heathcliff?	希斯克利夫？	94	Enemies-a1c6p2.json
Analytic Eye	分析	94	Passives.json
Observational Eye	分析	94	Passives.json
Tieqiu Crew	铁工会	94	UnitKeyword.json
Refresh	刷新	93	MirrorDungeonUI_3.json
Bud	花蕾	92	Enemies.json
Details	详细情报	92	RailwayDungeonUI.json
Immobilized	无法行动	91	Bufs.json
Season 3	第3赛季	91	SeasonTitle.json
Bloodied Hand	染血之手	90	BattleKeywords-a1c7p2.json
Candy	糖果	90	BattleKeywords-fools.json
The Terminus	终点站	90	RailwayDungeonUI_2.json
Nervous	焦虑	89	BattleKeywords.json
The Uninvited	不速之客	89	BattleKeywords.json
Max Speed +1	最大速度值+1	89	MirrorDungeonUI_2.json
Cycle Count	巡回数	89	RailwayDungeonUI_1002.json
Pity	怜悯	89	StageNode-a1c9p3.json
Map	地图	89	StageNode1-1.json
Louse	虫子	89	StageNode1-2.json
Fell Bullet	凶弹	88	AbEvents_Refraction5.json
Pilgrimage of Compassion	善意的巡礼	88	MirrorDungeonTheme-1.json
Shock	感电	87	BattleKeywords.json
The Chain	锁链	87	Enemies-a1c6p3.json
Loyalty	忠义	87	Passives.json
to Unlock	通过主线剧情	86	
Adaptation	适应	86	Passives_Abnormality-a1c9p3.json
Kezhan	客栈	86	StageNode91-16.json
Dihui Star	地慧星	86	UnitKeyword.json
Keenness	锐利	85	BattleKeywords_Mirror3.json
Powerless	无力	85	Passives_Abnormality_Refraction2.json
Hook Office	吊钩事务所	85	UnitKeyword.json
Multitude of Dots	点点	84	Passives.json
Line 4	4号线	84	RailwayDungeon.json
Telepole	电线杆	83	Enemies.json
Vanguard Team	先锋队	83	Passives.json
The Pawnshop	当铺	83	StageNode1-2.json
Smoke War	烟霾战争	83	UnitKeyword-a1c9p3.json
Tail	尾部	82	Enemies.json
Enkephalin Module	脑啡肽模块	82	Items.json
Identity Training Ticket I	人格训练券I	82	Items.json
Line 1	1号线	82	MirrorDungeonTheme-1.json
N Corp. New League of Nine Littérateurs	N公司 新九人会	82	MirrorDungeonTheme-1.json
Parallel Superposition	平行叠加	82	MirrorDungeonUI_6.json
Reflectrial	映射战斗	82	Passives-BossRaid.json
Harpoons	鱼叉	82	StageNode-a1c5p2.json
Ember	火种	81	BattleKeywords_Refraction3.json
Struggle	苦斗	80	Passives_Abnormality-pilgrimage.json
The First Mate	大副	80	StageNode-a1c5p1.json
Every World	所有世界	80	StageNode-a1c6p3.json
Xiren	袭人	80	StageNode-a1c8p1.json
Heishou Pack - You Branch	黑兽 - 酉	80	UnitKeyword.json
Faelantern	精灵提灯	79	AbEvents-a1c9p1.json
Vexation	不快	79	BattleKeywords-a1c9p2.json
High Noon	正午	79	BattleKeywords.json
Resilient	强韧	79	BattleKeywords_Mirror3.json
Fairy Wine	精灵酒	79	Enemies-a1c5p1.json
Line 5	5号线	79	MirrorDungeonTheme-1.json
The Subject	拍摄对象	79	StageNode91-27.json
Declared Duel	决斗宣告	78	BattleKeywords.json
Unbreakable Coin	不可摧毁的硬币	78	BattleKeywords.json
Daily	日常任务	78	BattlePass.json
Reunion	再会	78	StageNode1-4.json
The Church	教团	77	BattleKeywords-walpu5.json
Relief	安心	77	BattleKeywords.json
Tipsy	醉意	77	BattleKeywords.json
Pocket Watch	怀表	77	Items.json
Mnestic Experience	经验记忆	77	MirrorDungeonTheme-1.json
Offense Level +1	攻击等级+1	77	MirrorDungeonUI_2.json
Hit the Road	旅途	77	StageNode1-0.json
Witnessing	观望	77	StageNode91-16.json
Miseries	不幸	77	StageNode91-25.json
Immobilize	无法行动	76	BattleKeywords.json
Adversity	制约	76	MirrorDungeonUI_6.json
Lei Heng [雷橫]	雷横	76	Passives-BossRaid.json
Organizing	整理	76	Passives_Enemy-a1c6p1.json
Color Fixer	特色	76	StoryTheaterDanteNote_11.json
Guilt	负罪感	74	BattleKeywords-a1c7p3.json
Slash Power Up	斩击威力提升	74	BattleKeywords.json
Weekly Bonuses	每周加成	74	MirrorDungeonUI_2.json
Total Turns	最终累计回合	74	RailwayDungeonUI_3.json
