# en	cn	en_hits	cn_hits	source
Gregor	格里高尔	666	687	IntroduceCharacter.json
Body	躯干	949	364	Enemies-a1c5p1.json
The Letter	信	6	1277	StageNode-a1c6p1.json
Burn	烧伤	694	558	BattleKeywords.json
Nothing	没什么	899	331	StageNode1-4.json
Rodion	罗佳	511	683	IntroduceCharacter.json
Tier 5	5级	2	1180	MirrorDungeonUI_5.json
Leave	离开	605	575	MirrorDungeonUI_2.json
Enter	完成	378	789	MirrorDungeonUI_5.json
N Corp.	N公司	600	553	StageNode-a1c8p1.json
OFF	OFF	1137	5	MirrorDungeonUI_5_InfinityFloor.json
Heishou Pack	黑兽	462	675	UnitKeyword.json
Family Hierarch	家主	228	896	UnitKeyword.json
Ryōshū	良秀	0	1116	Enemies-a1c9p3.json
E.G.O Gifts	E.G.O饰品	258	845	MirrorDungeonUI_7.json
Abnormalities	异想体	300	782	StoryTheaterDanteNote_2.json
Identities	参战人格	1055	8	MirrorDungeonUI.json
Bloodfiend	血魔	415	641	UnitKeyword-a1c7p1.json
Head	头部	925	128	Enemies-a1c5p1.json
Poise	呼吸法	517	487	BattleKeywords.json
The Ring	环指	450	533	StageNode-a1c9p3.json
Activate	激活	728	233	MirrorDungeonUI_3.json
Tier 4	4级	42	915	MirrorDungeonUI_4.json
Nursefathers	父辈	57	891	StageNode-a1c9p1.json
Flower	花	99	843	Enemies_Refraction2.json
Gift	礼物	753	178	EGOgift_MirrorDungeon-EventTheme_2.json
Ready [待]	待	0	924	BattleKeywords.json
Reward	奖励	295	612	MirrorDungeonUI_6.json
Rewards	奖励	295	612	RailwayDungeonUI_1002.json
Fragile	易损	375	523	BattleKeywords.json
LCE	LCE	440	452	UnitKeyword.json
Enhance	强化	69	821	MirrorDungeonUI_6.json
Power Up	威力提升	636	248	BattleKeywords.json
Continue	继续	253	624	RailwayDungeonUI_2.json
Memories	记忆	303	574	StageNode91-25.json
The Past	过去	152	724	RailwayDungeonUI_6.json
The Hierarch of Hongyuan	鸿园的家主	431	440	Passives_Assist-Cultivation.json
Wrath	暴怒	468	387	Passives.json
Activate	发动	728	124	DanteAbilityUIText.json
Jia Family	贾家	406	435	UnitKeyword-a1c7p2.json
The Thumb	拇指	358	476	StageNode-a1c8p1.json
Offices	事务所	39	791	StoryTheaterDanteNote_2.json
Protection	守护	500	325	BattleKeywords.json
Prescript	指令	355	466	BattleKeywords-a1c9p1.json
Bloodfiends	血魔	176	641	StageNode91-10.json
Run	跑	368	432	ActionEvents.json
The Index	食指	360	437	StageNode-a1c9p3.json
Hard	困难	497	294	MirrorDungeonUI_2.json
The City	都市	306	485	StoryTheaterDanteNote.json
Bind	束缚	343	441	BattleKeywords.json
Gloom	忧郁	384	383	Passives.json
Envy	嫉妒	392	374	Passives.json
Refraction	折射	275	487	Passives.json
Heart	心脏	583	173	Enemies-a1c5p1.json
Blade Lineage	剑契组	396	355	ActionEvents_exme.json
The House of Spiders	蜘蛛巢	336	411	StoryTheaterDanteNote_11.json
Gaze	视线	367	377	BattleKeywords-a1c8p3.json
Past [過去]	过去	0	724	Passives_Abnormality_Refraction6.json
Person	人类	337	377	Enemies.json
The Nests	巢	18	689	StoryTheaterDanteNote.json
Heishou Packs	黑兽	17	675	StoryTheaterDanteNote_10.json
The Heishou Pack	黑兽	15	675	StageNode91-16.json
Kurokumo Clan	黑云会	324	363	AssociationName.json
Vergilius	维吉里乌斯	307	361	Enemies-a1c6p3.json
Pride	傲慢	339	316	Passives.json
Resume	继续	23	624	MirrorDungeonUI.json
W Corp.	W公司	314	333	StoryTheaterDanteNote_3.json
The Golden Bough	金枝	199	442	StageNode-a1c6p3.json
Happiness	喜	74	564	BattleKeywords-a1c8p3.json
HARD	困难难度	497	138	MirrorDungeonUI_5.json
Owned	拥有	81	554	MirrorDungeonUI_6.json
Tier	稀有度	614	13	MirrorDungeonUI_7.json
The Backstreets	后巷	176	451	StoryTheaterDanteNote.json
Distortions	扭曲	103	517	StoryTheaterDanteNote_6.json
Lust	色欲	323	290	Passives.json
Attack Power Up	强壮	276	330	BattleKeywords.json
Floor 4	4层	8	598	MirrorDungeonUI_4.json
Understanding	理解	104	500	BattleKeywords-walpu4.json
Enter	进入战斗	378	219	MirrorDungeonUI_6.json
Rest	安息	555	32	EGOgift_walpu4.json
Unlock	解放	235	347	BattleKeywords-a1c9p2.json
Damage Up	伤害强化	235	337	BattleKeywords.json
Return	返回	492	64	DanteAbilityUIText_a1c9p3.json
Corrosion	侵蚀	222	328	Passives_Abnormality-walpu4.json
Hard	Hard	497	52	MirrorDungeonUI_5.json
Offense Level Up	攻击等级提升	296	246	BattleKeywords.json
Gluttony	暴食	260	279	Passives.json
Easy	简单	269	269	MirrorDungeonUI_4.json
Face	面部	527	10	Enemies.json
Binding	纽带	521	13	StageNode1-4.json
The Pinky	小指	246	282	StageNode-a1c9p3.json
Bonus	星芒	387	126	
Sloth	怠惰	251	260	Passives.json
The LCE	LCE	59	452	StoryTheaterDanteNote_9.json
Cost	经费	284	223	MirrorDungeonUI_5.json
Ticket	券券	457	47	StageNode-a1c9p3.json
The Golden Boughs	金枝	62	442	StoryTheaterDanteNote.json
Jade	玉	53	449	Enemies-a1c8p3.json
Haste	迅捷	238	262	BattleKeywords.json
Normal	普通	273	220	MirrorDungeonUI_2.json
Thread	纺锤	318	172	Items.json
Mirror Refraction	折射	1	487	Bufs_Refraction2.json
Kromer	克罗默	234	249	AbnormalityGuides.json
Flesh	血肉	391	89	Enemies_Refraction2.json
Waiting	等待	279	197	StageNode-a1c9p3.json
Fairy	精灵	227	248	Enemies_Refraction2.json
Gaze	凝视	367	103	BattleKeywords.json
Run.	跑	37	432	ActionEvents.json
The Corridor	走廊	72	397	StageNode-a1c6p1.json
Mirror Dungeons	镜像迷宫	73	395	StoryTheaterDanteNote_4.json
Observation	观察	171	291	Passives_Abnormality-a1c9p3.json
LCC	LCC	20	436	UnitKeyword.json
Wuthering Heights	呼啸山庄	219	236	StageNode-a1c6p1.json
Loadout	编队	91	362	MirrorDungeonUI_5_InfinityFloor.json
The LCC	LCC	11	436	StoryTheaterDanteNote.json
Les Clous	钉	1	442	UnitKeyword-exem.json
Rage	暴怒	51	387	BattleKeywords.json
Free	免费	335	98	BattlePass.json
Syndicate	帮派	103	322	UnitKeyword.json
R Corp.	R公司	206	216	StoryTheaterDanteNote_3.json
Dimension	次元	104	317	Enemies_Refraction2.json
Lobotomy Corporation	脑叶公司	46	374	StoryTheaterDanteNote_2.json
Mephistopheles	梅菲斯托费勒斯	175	243	StoryTheaterDanteNote_4.json
Wei	卫	137	278	Enemies-cultivation.json
Defense Level Down	防御等级降低	195	217	BattleKeywords.json
Catherine	凯瑟琳	146	262	StageNode-a1c6p1.json
Possibilities	可能性	149	257	StageNode1-0.json
Paralyze	麻痹	180	223	BattleKeywords.json
The Kurokumo Clan	黑云会	38	363	StoryTheaterDanteNote.json
Grasp	掌	62	336	BattleKeywords-a1c8p3.json
Dark Cloud	黑云	12	386	BattleKeywords.json
Technology Liberation Alliance	技术解放联盟	214	184	StageNode1-4.json
Section 3	第3区段	367	25	RailwayDungeonUI_4.json
Hohenheim	霍恩海姆	166	226	StageNode91-14.json
The Blade Lineage	剑契组	32	355	StoryTheaterDanteNote.json
Tremor Burst	震颤引爆	174	211	BattleKeywords.json
Dawn Office	黎明事务所	210	175	BattleKeywords.json
Limbus Company	边狱公司	164	218	StoryTheaterDanteNote.json
LCA	LCA	188	189	UnitKeyword.json
Yurodiviye	圣愚	75	301	AbEvents-tktRe.json
Nagel und Hammer	钉与锤	182	191	MirrorDungeonTheme-1.json
Refraction Railway	折射轨道	167	204	RailwayDungeonUI.json
Fear	恐惧	195	175	BattleKeywords.json
Device	装置	171	199	Enemies-pilgrimage.json
E.G.O Gear	E.G.O装备	169	200	UnitKeyword.json
Care	悉心照料	365	2	Passives_Abnormality.json
Butterfly	蝶	146	220	BattleKeywords-walpu4.json
Collection	收集	151	214	MirrorDungeonUI_5_InfinityFloor.json
Walpurgis Night	瓦尔普吉斯之夜	177	187	SeasonTitle.json
Syndicates	帮派	41	322	StoryTheaterDanteNote.json
Yuri	尤莉	174	182	StageNode1-1.json
The Wings	翼	36	320	StoryTheaterDanteNote.json
Enkephalin	脑啡肽	171	184	StageNode1-1.json
Gifts	饰品观测	340	13	
Buy	购买	92	260	BattlePass.json
Karmic Consequence	业	18	330	BattleKeywords-a1c9p1.json
Close	关闭	288	58	MirrorDungeonUI_6.json
The Future	未来	83	255	RailwayDungeonUI_6.json
E.G.O Corrosion	E.G.O侵蚀	165	171	Bufs.json
Encounters	战斗次数	334	1	MirrorDungeonUI_3.json
Shop	商店	126	207	MirrorDungeonUI_2.json
Section 4	第4区段	310	20	RailwayDungeonUI_4.json
Hardblood	硬血	185	137	BattleKeywords-a1c7p3.json
Anamnaworm	虫	28	294	StoryTheaterDanteNote_11.json
Curse	诅咒	187	131	BattleKeywords.json
Contempt	轻蔑	153	164	BattleKeywords-a1c8p3.json
Baoyu, the Precious Jade	宝玉	0	317	Enemies-a1c8p3.json
Jia Xichun	贾惜春	138	178	StageNode-a1c8p1.json
Hammer	铁锤	305	10	EGOgift_StoryDungeon.json
The Inquisitor	审判官	36	276	StageNode91-20.json
Workshops	工坊	23	287	StoryTheaterDanteNote_5.json
Nagel	尖钉	185	122	EGOgift_StoryDungeon.json
NORMAL	普通难度	273	34	MirrorDungeonUI_5.json
Cinq Association	Cinq协会	44	261	StoryTheaterDanteNote_2.json
S Corp.	S公司	157	147	StoryTheaterDanteNote_6.json
Monsters	怪物	94	205	StoryTheaterDanteNote_5.json
Peccatula	罪种	103	195	StoryTheaterDanteNote_6.json
Defense Level Up	防御等级提升	139	158	BattleKeywords.json
Cycle	巡回	176	121	Bufs.json
Aggro	挑衅值	206	89	BattleKeywords.json
Keen Observation	观察	3	291	Passives.json
Acute Studies	观察	1	291	Passives.json
Backup	待命人员	172	117	RailwayDungeonUI_4.json
Bamboo-hatted Kim	金笠	91	198	StageNode91-7.json
LCD	LCD	139	149	UnitKeyword-a1c9p2.json
The Beast	野兽	11	276	StageNode-a1c6p2.json
Student	学徒	185	101	UnitKeyword.json
Sum	总计	211	71	MirrorDungeonUI_6.json
Pirates	海盗	126	156	StageNode-a1c5p1.json
Ammo	弹药	136	143	BattleKeywords.json
Assist [援]	援	0	279	BattleKeywords.json
Guaranteed	确定	31	242	MirrorDungeonUI_4.json
Hard Difficulty	困难难度	135	138	MirrorDungeonUI_6.json
Regular	常规	190	81	BattlePass.json
Starlight	星芒	145	126	MirrorDungeonUI_2.json
Hole	洞	68	201	StageNode1-4.json
Talisman	符咒	167	100	BattleKeywords.json
Chain	连续	146	121	RailwayDungeonUI_4.json
Butlers	管家	57	210	StageNode-a1c6p1.json
Potentialities	可能性	9	257	EGOgift_MirrorDungeon_7.json
Wings	翅膀	174	92	Enemies_Refraction3.json
Alliance	同盟	251	14	StageNode91-16.json
Designate Target	指定目标	2	261	Passives.json
Tears	眼泪	206	54	BattleKeywords.json
The Cleanup Agent	清扫人员	3	256	StageNode91-10.json
LCB	LCB	121	138	UnitKeyword.json
Marked	标记	128	130	BattleKeywords.json
Nails	尖钉	136	122	BattleKeywords.json
The Big Brother	幼兄	37	219	Passives-BossRaid.json
Araya	阿赖耶	93	163	StageNode-a1c9p3.json
Future [未來]	未来	0	255	Passives_Abnormality_Refraction6.json
Shi Family	史家	117	138	UnitKeyword-a1c8p2.json
Reset	重置	140	113	MirrorDungeonUI_6.json
The Index Nursefather	食指 父辈	133	120	Passives.json
Corpse	尸体	72	180	KeywordDictionary.json
Attack Power Down	虚弱	109	142	BattleKeywords.json
Desire	欲望	138	112	Enemies.json
Rosespanner Workshop	玫瑰扳手工坊	122	126	UnitKeyword.json
The Pequod	裴廓德号	119	127	UnitKeyword.json
Sancho	桑丘	90	154	Enemies-a1c7p3.json
The Great Lake	大湖	89	155	StoryTheaterDanteNote_5.json
Cold	寒冷	206	37	BattleKeywords-pilgrimage.json
Into Full Bloom	绽放	1	242	Passives_Abnormality.json
MultiCrack Office	多裂纹事务所	121	121	StageNode91-10.json
Smoke	烟气	206	32	BattleKeywords-walpu5.json
G Corp.	G公司	113	125	KeywordDictionary.json
Ambush	袭击	36	200	StageNode91-16.json
Jia Baoyu	贾宝玉	100	132	StageNode-a1c8p1.json
Tree	树	73	157	Enemies.json
Superiority	优势	11	216	Passives_Abnormality-a1c6p3.json
Lobotomy Corp. Branch	脑叶公司支部	72	154	UnitKeyword.json
Egoshards	自我碎片	54	171	Items.json
Not Enough Cost	经费	2	223	
Ahab	亚哈	99	125	ActionEvents-a1c5p3.json
Jia Qiu	贾丘	80	144	BattleKeywords-a1c8p2.json
Anxiety	不安	36	188	Passives_Abnormality_Refraction2.json
The Duel	决斗	21	203	StageNode91-16.json
Power Down	威力降低	183	39	BattleKeywords.json
L Corp.	L公司	122	100	StoryTheaterDanteNote.json
Zwei Association	Zwei协会	23	199	StoryTheaterDanteNote_8.json
Kindred	眷属	97	124	UnitKeyword-a1c7p1.json
Shell	壳	73	147	Enemies-a1c5p3.json
Umbrella	伞	93	126	Enemies-a1c5p1.json
Fuse	合成	79	139	MirrorDungeonUI_3.json
Casino	赌场	84	134	StageNode1-2.json
Liu Association	六协会	36	180	StoryTheaterDanteNote_2.json
Docent	讲解员	106	110	UnitKeyword.json
Needle	针	44	171	BattleKeywords.json
Entanglement	纠缠	56	158	BattleKeywords.json
The LCA	LCA	24	189	StoryTheaterDanteNote_6.json
School of Fauvism	野兽派	14	198	UnitKeyword.json
Refraction Railways	折射轨道	6	204	StoryTheaterDanteNote_4.json
Safety Team	安保部	102	107	ActionEvents-walpu4.json
Vengeance	报复	164	44	BattleKeywords-a1c5p2.json
Duello	决斗	3	203	Passives_Abnormality-a1c9p1.json
Mental Awakening	觉醒	2	201	BattleKeywords-cultivation.json
"It"	鬼	0	201	BattleKeywords_Refraction6.json
Twinhook Pirates	双钩海盗团	105	96	UnitKeyword.json
Weak Morale	士气低落	1	199	Passives_Enemy.json
Despair	绝望	78	120	BattleKeywords-walpu6.json
Hatred	憎恶	109	89	Bufs-a1c6p2.json
Clash Power Up	拼点威力提升	104	93	BattleKeywords-tkt.json
Faith	信念	144	53	EGOgift_MirrorDungeon.json
Heishou Pack - Mao Branch	黑兽 - 卯	0	197	UnitKeyword.json
Offense Level Down	攻击等级降低	98	98	BattleKeywords.json
Running	溃退	194	2	Bufs.json
Buffs	增益	100	96	RailwayDungeonUI_5.json
Edgar Family	埃德加家族	97	99	UnitKeyword.json
Night Awls	夜锥组	98	97	UnitKeyword.json
Nail and Hammer	钉与锤	3	191	EGOgift_MirrorDungeon_7.json
Lunacy	狂气	94	100	Items.json
Backup	掩护	172	22	Passives.json
The LCD	LCD	44	149	StoryTheaterDanteNote_6.json
Bloodbag	血袋	60	132	Passives_Enemy-a1c7p1.json
Determined	觉悟	147	43	BattleKeywords.json
P Corp.	P公司	87	103	StoryTheaterDanteNote_8.json
Doubt	猜疑	176	13	StageNode-a1c9p1.json
Struggle	挣扎	79	109	BattleKeywords.json
Levelheaded	冷静	22	165	Passives.json
The LCB	LCB	49	138	StoryTheaterDanteNote.json
Coffin	棺	88	98	BattleKeywords.json
Theme Pack	主题卡包	67	119	MirrorDungeonUI_5.json
Yearning	渴望	70	115	Passives_Abnormality_Refraction5.json
The Adept	魁首	3	182	StageNode91-19.json
Agitated	愤怒	11	173	Bufs.json
The Assistant	助手	7	175	StageNode91-14.json
H Corp.	H公司	87	95	StoryTheaterDanteNote_10.json
Lobotomy E.G.O	脑叶公司E.G.O	90	90	Passives_Abnormality.json
Basement	地下室	76	104	StageNode91-25.json
The Backdoor	后门	55	124	StoryTheaterDanteNote_4.json
Growing	生长	115	61	BattleKeywords.json
Audience	观众	82	93	StageNode-a1c9p2.json
Poised	冷静	9	165	Passives.json
Colours	颜色	5	169	StageNode-a1c6p1.json
Prey	猎物	103	70	BattleKeywords-BossRaid.json
Hunger	饥饿	87	86	BattleKeywords-a1c7p1.json
Resentment	仇怨	92	81	BattleKeywords.json
Clears	清剿	30	143	MirrorDungeonUI_5_InfinityFloor.json
Resentment	怨恨	92	78	BattleKeywords-exme.json
Discard	丢弃	86	83	BattleKeywords.json
Hidden	隐藏	67	102	MirrorDungeonUI_6_Achievement.json
Taboo	禁忌	64	105	StageNode1-3.json
Tingtang Gang	豆豆帮	50	119	UnitKeyword.json
Cassetti	卡塞蒂	79	89	AbnormalityGuides-mowe.json
Jia Mu	贾母	93	75	Enemies-a1c8p3.json
Focus	聚气	163	4	Passives_Abnormality-a1c8p2.json
The Waves	浪潮	64	103	StageNode-a1c5p1.json
Completed	达成	98	68	MirrorDungeonUI_6.json
Full-Stop Office	句点事务所	84	82	UnitKeyword-a1c7p1.json
Los Mariachis	流浪乐队	66	100	UnitKeyword.json
Threadspinning	异想解析	66	98	StoryTheaterDanteNote_3.json
Blazing	燃烧	20	143	BattleKeywords.json
Regenerate	再生	19	144	BattleKeywords_Refraction2.json
The Fingers	手指	29	134	StageNode-a1c9p1.json
Decaextraction Ticket	十连提取券	83	78	Items.json
Effloresced E.G.O	绽放E.G.O	77	83	StoryTheaterDanteNote_13.json
Nelly	耐莉	69	90	AbEvents-a1c6p3.json
Thorns	荆棘	41	118	BattleKeywords-a1c7p2.json
The Barber	理发师	75	84	Enemies-a1c7p3.json
Available	可用	124	35	MirrorDungeonUI_6.json
Trials	苦难	53	104	MirrorDungeonUI_5.json
Urge	欲望	43	112	BattleKeywords.json
Line 2	2号线	79	76	MirrorDungeonTheme-1.json
Lamp	目灯	135	18	BattleKeywords-a1c9p3.json
Identity Training Ticket IV	人格训练券IV	80	73	Items.json
Support	呐喊助威	149	3	Passives.json
Seven Association	Seven协会	31	121	StoryTheaterDanteNote_5.json
Points	点数	86	65	MirrorDungeonUI_5.json
Sasha	萨莎	72	78	AbnormalityGuides-mowe.json
The Priest	神父	63	87	Enemies-a1c7p3.json
Progress	当前进度	144	6	MirrorDungeonUI_6.json
Support	辣喊助威	149	1	Passives-x1p1c1.json
The Dead Rabbits	死兔帮	37	112	StageNode-a1c6p1.json
Inquisitors	异端审判官	50	99	StageNode1-3.json
Ricardo	里卡多	73	75	Enemies-a1c5p2.json
The Laws	规则	36	112	StageNode-a1c5p1.json
Progress	成就进度	144	3	MirrorDungeonUI_5.json
Grade 8 Fixers	8阶收尾人	1	145	StageNode1-1.json
Wealth	富	23	122	EGOgift_MirrorDungeon_6.json
Challenge	挑战	68	77	MirrorDungeonUI_6.json
Tribulation	苦难	40	104	BattleKeywords-BossRaid.json
Marked	标识	128	15	BattleKeywords-a1c5p3.json
Lei Heng	雷横	67	76	Enemies-a1c8p3.json
Identity Training Ticket III	人格训练券III	75	68	Items.json
Mr. Pilot	皮利托	6	137	StageNode-a1c5p1.json
Resurrect	复活	1	141	Bufs.json
Activated	已激活	126	15	MirrorDungeonUI_2.json
Stigmatized	标记	10	130	BattleKeywords-a1c8p3.json
Grace	恩义	137	2	Passives_Abnormality-a1c9p1.json
Defense Power Up	忍耐	34	104	BattleKeywords.json
Search	饰品观测	124	13	
Rampage	挣扎	27	109	BattleKeywords-a1c8p3.json
Queequeg	魁魁格	58	78	Enemies-a1c5p3.json
Slayer	杀手	8	128	Passives.json
Damage Taken	受击之时	133	3	Passives_Abnormality-cultivation.json
First Class	头等舱	70	66	StageNode91-10.json
Details	详情	90	45	MirrorDungeonUI_3.json
Singularities	奇点	22	113	StoryTheaterDanteNote_2.json
Yield My Flesh	肉斩	64	70	ActionEvents_Mirror7.json
Achievements	成就	42	91	MirrorDungeonUI_5_InfinityFloor.json
Suffering	饱受折磨	129	3	Passives.json
Revenge	复仇	30	101	Bufs-a1c6p2.json
Zilu	子路	56	75	Enemies-a1c8p2.json
The Guide	向导	20	111	Passives_Assist-a1c9p3.json
Limbus Pass	边狱通行证	78	52	BattlePass.json
Season 5	第5赛季	74	56	SeasonTitle.json
Dieci Association	Dieci协会	20	110	StoryTheaterDanteNote_4.json
Accelerating	加速	16	112	Bufs.json
Hindley	亨德利	52	76	Enemies-a1c6p2.json
The Outskirts	郊区	50	78	StoryTheaterDanteNote_5.json
Pequod Town	裴廓德镇	61	65	DungeonArea-a1c5p3.json
U Corp.	U公司	45	81	StoryTheaterDanteNote_5.json
Bloodfeast	血宴	64	61	BattleKeywords-a1c7p1.json
Red Eyes	赤瞳	87	36	BattleKeywords-walpu4.json
Guides	向导	12	111	StageNode1-1.json
School	学校	90	33	StageNode91-25.json
Butterfly of Entangled Lives	罗生蝶	62	60	AbnormalityGuides_Refraction6.json
Wandering	徘徊	68	54	BattleKeywords.json
Desirous	渴望	6	115	BattleKeywords.json
Unbending	不动	9	112	EGOgift_MirrorDungeon-EventTheme.json
The Sign	印记	31	90	StoryTheaterDanteNote_12.json
Grace of the Prescript	指令加护	67	53	BattleKeywords-a1c9p1.json
The Master	师父	52	68	StageNode91-19.json
Shi Association	し协会	13	107	StoryTheaterDanteNote_2.json
The Indigo Elder	靛蓝老人	54	65	StageNode-a1c5p2.json
The Pallid Whale	白鲸	34	85	StageNode-a1c5p2.json
Ardor Blossom Moth	红焰蛾	59	59	AbEvents-a1c9p2.json
Spiral of Contempt	轻蔑螺旋	54	64	AbEvents_Refraction3.json
Poison	剧毒	57	61	BattleKeywords.json
A Guide	向导	7	111	StageNode91-16.json
Devyat' Association	Девять协会	8	110	StoryTheaterDanteNote_5.json
Öufi Association	Öufi协会	0	118	UnitKeyword.json
Surgery	手术	19	98	BattleKeywords.json
Season 7	第7赛季	58	59	SeasonTitle.json
Fanghunt Office	猎牙事务所	58	59	UnitKeyword-a1c7p1.json
Spark	点燃	58	58	BattleKeywords_Refraction3.json
Shell	外壳	73	43	Enemies91-4.json
Nightmare	噩梦	57	59	Passives_Abnormality-a1c6p3.json
Lightning	雷电	99	16	BattleKeywords.json
Uncertainty	不确定性	103	12	StageNode91-10.json
The Library	图书馆	28	87	StoryTheaterDanteNote_5.json
Maestro	大师	44	71	UnitKeyword.json
Not Me	不是我	8	105	Passives_Abnormality_Refraction5.json
Season 6	第6赛季	64	49	SeasonTitle.json
Petals	花瓣	65	47	BattleKeywords.json
Big & Scary	可怕	0	112	Passives_Enemy-a1c7p1.json
Sea Terror	恐鱼	41	71	UnitKeyword-pilgrimage.json
Defense Power Down	破绽	38	73	BattleKeywords.json
Timekilling Time	时间杀人时间	52	58	MirrorDungeonTheme-1.json
The Proof	证明	5	105	StageNode91-19.json
Instincts	本能	34	75	BattleKeywords-Refraction1BokGak.json
Hardship	苦难	5	104	EGOgift_walpu4.json
The Time Ripper	时间杀人魔	26	82	AbnormalityGuides-tkt.json
Sack	袋子	87	21	Passives_Abnormality-a1c6p3.json
Total Turns	累计回合数	73	35	RailwayDungeonUI.json
Blessing	加护	31	76	BattleKeywords-walpu6.json
Solitude	孤独	29	78	BattleKeywords.json
Interloper	不速之客	27	80	BattleKeywords_Refraction4.json
Seaborn	海嗣	16	91	Passives_Abnormality-pilgrimage.json
The Contract	契约	76	31	StageNode-a1c9p2.json
Details	详细信息	90	16	RailwayDungeonUI_5.json
Purity	纯粹	23	82	BattleKeywords.json
Gossypium	棉花	52	53	BattleKeywords_Refraction3.json
Extraction Ticket	提取券	9	96	Items.json
Awe	敬畏	49	55	EGOgift_MirrorDungeon.json
Resentment	疙瘩	92	12	Enemies.json
Film	胶片	58	46	StageNode91-27.json
Damage Down	伤害弱化	43	60	BattleKeywords.json
Hate	憎恶之心	101	1	Passives_Abnormality-a1c8p2.json
The Client	委托人	37	65	StageNode1-4.json
Identity Uptying	人格同步	1	101	StoryTheaterDanteNote_3.json
Frozen	冻结	37	64	BattleKeywords-pilgrimage.json
Lasso	套索	54	47	BattleKeywords.json
Survivor	幸存者	31	70	StageNode91-25.json
Pursuit	追踪	65	36	StageNode91-27.json
Determination	觉悟	57	43	BattleKeywords-a1c6p3.json
Blood-tinged Scissorblades	染血的剪刃	68	32	BattleKeywords-a1c7p1.json
Responsibility	责任感	92	8	BattleKeywords-a1c8p3.json
Penitence	忏悔	55	44	BattleKeywords-walpu4.json
Weekly	周常任务	97	2	BattlePass.json
Dead Rabbits Boss	死兔帮 老大	51	48	Enemies-a1c6p2.json
Ch'unokkun	推奴人	39	60	Passives.json
Sweepers	清道夫	31	68	StoryTheaterDanteNote_10.json
Blooming	开花	68	30	BattleKeywords.json
Fruit	果实	48	50	Enemies.json
Sell	售卖	52	46	MirrorDungeonUI_3.json
Season 4	第4赛季	49	49	SeasonTitle.json
Self-charge	自体发电	59	38	BattleKeywords.json
Emptiness	空虚	32	65	BattleKeywords.json
Palanquin	轿子	45	52	Enemies-a1c8p3.json
Legs	腿部	83	14	Enemies.json
LCB Regular Check-up	LCB定期体检	51	46	MirrorDungeonTheme-1.json
Nocturnal Sweeping	深夜清扫	46	51	MirrorDungeonTheme-1.json
