# pattern	count	en_example	cn_example
Dawn Office Fixer	81	Dawn Office
Fixer	黎明事务所
收尾人
Heishou Pack - Si Branch	81	Heishou Pack - Si Branch	黑兽 - 巳
<TAG> Gain +<N> Charge Count	79	[OnSucceedAttackHead] Gain +4 Charge Count	[OnSucceedAttackHead] 使自身获得4层充能 
District <N> Yurodivy	78	District 20
Yurodivy	20区
圣愚
Devyat' North Section <N>	78	Devyat' North Section 3	Девять协会 北部3科
The House of Spiders	77	The House of Spiders	蜘蛛巢
Cinq East Section <N>	77	Cinq East
Section 3	Cinq协会 东部3科
Welfare Team Agent	76	Welfare Team Agent	福利部 员工
<TAG> Trigger <TAG> into <TAG>	75	[UnBrokenCoinOnSucceedAttack] Trigger [Switch_Vibration] into [VibrationIgnition]	[UnBrokenCoinOnSucceedAttack] 使目标[Switch_Vibration]为[VibrationIgnition]
<TAG> Inflict +<N> Rupture Count	72	[OnSucceedAttack] Inflict +1 Rupture Count	[OnSucceedAttack] 对目标施加1层破裂 
The Index Apprentice	70	The Index Apprentice	食指 子辈
A Distant World	70	A Distant World	另一个世界
The Ring Nursefather	69	The Ring Nursefather	环指 父辈
<TAG> Trigger <TAG>	69	[OnSucceedAttack] Trigger [VibrationExplosion]	[OnSucceedAttack] 使目标震颤引爆 
<TAG> Inflict <N> Paralyze next turn	67	[OnSucceedAttack] Inflict 1 Paralyze next turn	[OnSucceedAttack] 下回合对目标施加1层麻痹 
Blade Lineage Salsu	66	Blade Lineage
Salsu	剑契组
杀手
Heishou Pack - Mao Branch	66	Heishou Pack - Mao Branch	黑兽 - 卯
LCE Research Team Chief	66	LCE Research Team Chief	LCE研究组 首席
Who will step forth	61	Who will step forth?	让哪位罪人上前？
<TAG> Inflict <TAG>	60	[OnSucceedAttack] Inflict [DuelDeclaration_DonQuixote]	[OnSucceedAttack] 对目标施加决斗宣告-堂吉诃德 
Class <N> Collection Staff	60	Class 2 Collection Staff	2级征收人员
The Middle Nursefather	59	The Middle Nursefather	中指 父辈
The Ring Fauvist Docent	59	The Ring Fauvist
Docent	环指 野兽派
讲解员
LCA Vanguard Team <N>	59	LCA Vanguard Team 3	LCA 先锋三队
Eunbong’s Bar & Fryers	58	Eunbong’s Bar & Fryers	Eunbong’s Bar & Fryers
<TAG> Inflict <N> Sinking	58	[OnSucceedAttack] Inflict 4 Sinking	[OnSucceedAttack] 使目标增加4级沉沦 强度
Night Awls Capitano	57	Night Awls Capitano	夜锥组
队长
<TAG> Deal <N> Blunt bonus damage	57	[OnSucceedAttack] Deal 3 Blunt bonus damage	[OnSucceedAttack] 对目标额外造成3点打击伤害
The Barber of La Manchaland	56	The Barber
of La Manchaland	拉·曼却领
理发师
+<N>% Damage on Critical Hit	56	+30% Damage on Critical Hit	使本技能暴击时造成的伤害+30%
Fleeting moments from any point within the Sinner’s lifetime, condensed into physical form. The shards float in the air. Possibilities are transient things; they drift in the realm of uncertainty unless seized	54	Fleeting moments from any point within the Sinner’s lifetime, condensed into physical form. The shards float in the air.
Possibilities are transient t	将罪人们的“某一刻”具象化的碎片。其腾空飘浮。
若不抓住那股可能性，它们最终只会随风而逝。
No Acquisition Records - Shops - 「Fuse E.G.O Gift」	54	No Acquisition Records

<Unlock Conditions>
- Shops - 「Fuse E.G.O Gift」	暂无获取记录


<获取条件>
- 商店“E.G.O饰品合成”
Safety Team Captain	53	Safety Team Captain	安保部 队长
Control Team Captain	52	Control Team Captain	控制部队长
The Manager of La Manchaland	52	The Manager
of La Manchaland	拉·曼却领
总督
<TAG> Inflict <N> Tremor	52	[OnSucceedAttackHead] Inflict 3 Tremor	[OnSucceedAttackHead] 使目标增加3级震颤 强度
Welfare Team Captain	51	Welfare Team Captain	福利部队长
<TAG> Inflict <N> <TAG> next turn (once per turn)	51	[OnSucceedAttackHead] Inflict 2 [Binding] next turn (once per turn)<style="highlight"></style>	[OnSucceedAttackHead] 下回合对目标施加2层[Binding](每回合最多1次)<style="highlight"></style>
Heishou Pack - Wei Branch	50	Heishou Pack -
Wei Branch	黑兽 - 未
The Thumb's Capo ⅠⅠⅠⅠ	50	The Thumb's Capo ⅠⅠⅠⅠ	拇指 指挥官ⅠⅠⅠⅠ
<TAG> Raise Stagger Threshold by <N>% of damage dealt	50	[OnSucceedAttack] Raise Stagger Threshold by 10% of damage dealt	[OnSucceedAttack] 使目标的混乱阈值前移本硬币伤害量的10%
Eunbong’s Bar & Fryers Owner	50	Eunbong’s Bar & Fryers Owner?	银凤炸鸡酒吧 店长？
Man Tied to a Chair	50	Man Tied to a Chair	被绑在椅子上的人
Liu Section <N>	50	Liu Section 6	六协会 6科
<TAG> Heal <N> SP	49	[WinDuel] Heal 5 SP	[WinDuel] 使自身恢复5点理智值
The Indigo Elder	48	The Indigo Elder	靛蓝老人
The Ring Apprentice	47	The Ring Apprentice	环指 子辈
<TAG> Targets randomly	47	[CantIdentify]
Targets randomly	[CantIdentify]
随机指定目标
Inflict <N> <TAG> Potency and +<N> <TAG> Count	46	Inflict 3 [Vibration] Potency and +3 [Vibration] Count	增加3级[Vibration]强度并施加3层[Vibration]
<TAG> Inflict <N> Fragile next turn	46	[OnSucceedAttackTail] Inflict 1 Fragile next turn	[OnSucceedAttackTail] 下回合对目标施加1层易损 
<TAG> If target has <N>+ <TAG>, Coin Power +<N>	46	[WhenUse] If target has 6+ [Laceration], Coin Power +1	[WhenUse] 若目标的[Laceration]强度不低于6级，则使本技能的硬币威力+1
Time Ripper's Fathoms	45	Time Ripper's Fathoms	时间杀人魔的心象
<TAG> Gain <N> <TAG> next turn (once per turn)	45	[WhenUse] Gain 1 [Enhancement] next turn (once per turn)	[WhenUse] 下回合使自身获得1层[Enhancement](每回合最多1层)
The Prescripts are delivered by many means, their medium determined with finality akin to divine prophecy. Those who receive them hold no power over how they arrive	44	The Prescripts are delivered by many means, their medium determined with finality akin to divine prophecy. Those who receive them hold no power over h	指令会以多种形式被传达，其传达的形式会被单向地选择并确定，类似于神谕。
In the shimmering fathoms of ego, A painfully pale nightly trail unfolds before us	44	In the shimmering fathoms of ego,
A painfully pale nightly trail unfolds before us.	在摇曳的心象之中，
看到了近乎冻结的苍蓝的夜之街道。
Bamboo-hatted Kim's Fathoms	44	Bamboo-hatted Kim's Fathoms	金笠的心象
Inflict <N> <TAG> Potency	44	Inflict 2 [Combustion] Potency	增加2级[Combustion]强度
Dead Rabbits Boss	43	Dead Rabbits Boss	死兔帮 老大
Obtained at Season <N> Free Pass Level <N>	43	Obtained at Season 1 Free Pass Level 1	第1赛季 方向 达到等级1的免费通行证奖励
Shade of Reflection <TAG>	42	Shade of Reflection [Rouge]	映射[红色]
Identity Growth Pack	42	Identity Growth Pack	人格养成组合包
<TAG> Gain <N> <TAG> and +<N> <TAG> Count	42	[WhenUse] Gain 6 [Sinking] and +3 [Sinking] Count	[WhenUse] 使自身增加6级沉沦 强度并对自身施加3层沉沦 
The Middle Apprentice	41	The Middle Apprentice	中指 子辈
Heishou Pack - Mao Branch Adept	41	Heishou Pack -
Mao Branch Adept	黑兽 - 卯 魁首
No particular effect	40	No particular effect	无特殊效果
Target Extraction Pack	40	Target Extraction Pack	特别提取组合包
<TAG> Target loses <N> SP	40	[WinDuel] Target loses 3 SP	[WinDuel] 使目标失去3点理智值
Dieci Section <N>	40	Dieci Section 4	Dieci协会 4科
T Corp. Gang	40	T Corp. Gang	T公司黑帮
The Thumb Apprentice	39	The Thumb Apprentice	拇指 子辈
<TAG> Inflict <N> Bleed next turn	39	[OnSucceedAttack] Inflict 5 Bleed next turn	[OnSucceedAttack] 下回合使目标增加5级流血 强度
<TAG> Trigger Tremor Burst	39	[OnSucceedAttack] Trigger Tremor Burst	[OnSucceedAttack] 使目标震颤引爆 
Gain <N> <TAG>	38	Gain 3 [AttackDmgUp]	获得3层[AttackDmgUp]
If target has <N>+ <TAG>, Coin Power +<N>	38	If target has 4+ [Sinking], Coin Power +1	若目标的[Sinking]强度不低于4级，则使本技能的硬币威力+1
District <N> Backstreets	38	District 20 Backstreets	20区 后巷
Seven Section <N>	38	Seven Section 6	Seven协会 6科
The Index Proselyte	37	The Index Proselyte	食指 苦行者
The Priest of La Manchaland	37	The Priest
of La Manchaland	拉·曼却领
神父
<TAG> Inflict <N> Paralyze	37	[OnSucceedAttack] Inflict 3 Paralyze	[OnSucceedAttack] 对目标施加3层麻痹 
Zwei West Section <N>	37	Zwei West Section 3	Zwei协会 西部3科
Captain of the Pequod	36	Captain of the Pequod	裴廓德号的船长
<TAG> Raise Stagger Threshold by <N>	36	[UnBrokenCoinOnSucceedAttack] Raise Stagger Threshold by 30	[UnBrokenCoinOnSucceedAttack] 使目标的混乱阈值前移30
Safety Team Agent	36	Safety Team Agent	安保部 员工
Shi East Section <N>	36	Shi East Section 3	し协会 东部3科
Cinq Section <N> Director	36	Cinq Section 5 Director	Cinq协会 5科 科长
Dawn Office Rep	35	Dawn Office Rep	黎明事务所
代表
<TAG> Inflict + <N> <TAG> Count	35	[OnSucceedAttack] Inflict +<style="highlight">3</style> [Sinking] Count	[OnSucceedAttack] 对目标施加<style="highlight">3</style>层[Sinking]
LCCA Team Leader	35	LCCA Team Leader	LCCA队长
The Princess of La Manchaland	34	The Princess
of La Manchaland	拉·曼却领
公主
N Corp. Mittelhammer	33	N Corp.
Mittelhammer	N公司
中锤
Event Bonus Units	32	Event Bonus Units	活动加成角色
Heishou Pack - You Branch	32	Heishou Pack -
You Branch	黑兽 - 酉
<TAG> Gain +<N> Poise Count	32	[OnSucceedAttack] Gain +1 Poise Count	[OnSucceedAttack] 使自身获得1层呼吸法 
R Corp. 4th Pack	32	R Corp. 4th Pack	R公司 第四集团军
The One Who Grips	31	The One Who Grips	执柄者
<TAG> Heal <N> SP on self	31	[OnSucceedAttack] Heal 10 SP on self	[OnSucceedAttack] 使自身恢复10点理智值
<TAG> Inflict <N> <TAG> and <N> <TAG>	31	[OnSucceedAttack] Inflict 3 [Laceration] and 3 [Burst]	[OnSucceedAttack] 使目标增加3级[Laceration]强度与3级[Burst]强度
Öufi Assoc. Director	30	Öufi Assoc. Director	Öufi协会收尾人 科长
Fleeting moments from any point in the Sinner's time condensed into physical form. The shards float in the air. Possibilities are transient things; they drift in the realm of uncertainty unless seized	30	Fleeting moments from any point in the Sinner's time condensed into physical form. The shards float in the air.
Possibilities are transient things; th	将罪人们的“某一刻”具象化的碎片。其腾空飘浮。
若不抓住那股可能性，它们最终只会随风而逝。
<TAG> If target has <N>+ <TAG>, deal +<N>% damage	30	[ReUseOnSucceedAttackHead] If target has 10+ [Laceration], deal +50% damage	[ReUseOnSucceedAttackHead] 若目标的[Laceration]强度不低于10级，则使本硬币造成的伤害+50%
Heishou Pack - You Branch Adept	29	Heishou Pack -
You Branch Adept	黑兽 - 酉 魁首
<TAG> Heal by <N>% of damage dealt	29	[OnSucceedAttackHead] Heal by 30% of damage dealt	[OnSucceedAttackHead] 使自身恢复本硬币伤害量30%的体力
<TAG> Inflict +<N> Sinking Count	29	[OnSucceedAttack] Inflict +3 Sinking Count	[OnSucceedAttack] 对目标施加3层沉沦 
G Corp. Remnant	29	G Corp. Remnant	没落的G公司
Cinq Section <N>	29	Cinq Section 4	Cinq协会 4科
Twinhook Pirates First Mate	28	Twinhook Pirates
First Mate	双钩海盗团
大副
Jeong's Office Rep	28	Jeong's Office Rep	定事务所
代表
<TAG> If target has <N>+ <TAG>, Clash Power +<N>	28	[WhenUse] If target has 5+ [Vibration], Clash Power +1	[WhenUse] 若目标的[Vibration]强度不低于5级，则使本技能的拼点威力+1
A waft of something crisp and well-roasted tickles the nose	27	A waft of something crisp and well-roasted tickles the nose.	不知从何处飘来了炸物的香气。
Following a Crispy Scent	27	Following a Crispy Scent	追随着炸物的香气
Deal +<N>% damage	27	Deal +10% damage	造成的伤害+10%
4th Match Flame	27	4th Match Flame	第四根火柴之焰
<TAG> Heal <N> HP	27	[OnSucceedAttackHead] Heal 1 HP	[OnSucceedAttackHead] 使自身恢复1点体力
<TAG> Inflict <N> Rupture next turn	27	[OnSucceedAttack] Inflict 1 Rupture next turn	[OnSucceedAttack] 下回合使目标增加1级破裂 强度
LCE Research Team Hallway	27	LCE Research Team Hallway	LCE研究组 走廊
The Middle's Big Sister	26	The Middle's Big Sister	中指 幼姊
(<N>, FAILURE), (<N>, FAILURE), (<N>, FAILURE), (<N>, FAILURE)	25	(800101, FAILURE), (800102, FAILURE), (800104, FAILURE), (800105, FAILURE)	(800101, FAILURE), (800102, FAILURE), (800104, FAILURE), (800105, FAILURE)
Select to gain a Keywordless E.G.O Gift	25	Select to gain a Keywordless E.G.O Gift	选择后，获得1件泛用E.G.O饰品
J Corp. Casino	25	J Corp. Casino	J公司 赌场
Daguanyuan - Special Lecture Hall	25	Daguanyuan - Special Lecture Hall	大观园 特殊教室
Obtained at Season <N> Limbus Pass Level <N>	25	Obtained at Season 1 Limbus Pass Level 60	第1赛季 方向 达到等级60的边狱通行证奖励
(<N>, VERY_HIGH), (<N>, VERY_HIGH), (<N>, VERY_HIGH), (<N>, VERY_HIGH)	24	(800101, VERY_HIGH), (800102, VERY_HIGH), (800104, VERY_HIGH), (800105, VERY_HIGH)	(800101, VERY_HIGH), (800102, VERY_HIGH), (800104, VERY_HIGH), (800105, VERY_HIGH)
(<N>, HIGH), (<N>, HIGH), (<N>, HIGH), (<N>, HIGH)	24	(800101, HIGH), (800102, HIGH), (800104, HIGH), (800105, HIGH) 	(800101, HIGH), (800102, HIGH), (800104, HIGH), (800105, HIGH) 
(<N>, NORMAL), (<N>, NORMAL), (<N>, NORMAL), (<N>, NORMAL)	24	(800101, NORMAL), (800102, NORMAL), (800104, NORMAL), (800105, NORMAL)	(800101, NORMAL), (800102, NORMAL), (800104, NORMAL), (800105, NORMAL)
(<N>, LOW), (<N>, LOW), (<N>, LOW), (<N>, LOW)	24	(800101, LOW), (800102, LOW), (800104, LOW), (800105, LOW)	(800101, LOW), (800102, LOW), (800104, LOW), (800105, LOW)
(<N>, VERY_LOW), (<N>, VERY_LOW), (<N>, VERY_LOW), (<N>, VERY_LOW)	24	(800101, VERY_LOW), (800102, VERY_LOW), (800104, VERY_LOW), (800105, VERY_LOW) 	(800101, VERY_LOW), (800102, VERY_LOW), (800104, VERY_LOW), (800105, VERY_LOW) 
(<N>, SUCCESS), (<N>, SUCCESS), (<N>, SUCCESS), (<N>, SUCCESS)	24	(800101, SUCCESS), (800102, SUCCESS), (800104, SUCCESS), (800105, SUCCESS)	(800101, SUCCESS), (800102, SUCCESS), (800104, SUCCESS), (800105, SUCCESS)
Max HP +<N>%	24	Max HP +20%	体力上限增加20%
Offense Level +<N>, Defense Level +<N>, Max HP +<N>%, Damage Dealt +<N>%, Boss Max HP +<N>%	24	Offense Level +10, Defense Level +5, Max HP +40%, Damage Dealt +15%, Boss Max HP +30%	攻击等级+10，防御等级+5，体力上限+40%，造成的伤害+15%，头目遭遇战体力上限+30%
#<N> Deployment Effect	24	#1 Deployment Effect	第1顺位效果
Blossoming League of Nine Littérateurs	24	Blossoming League of Nine Littérateurs	绽放的九人会
LCCB Assistant Manager	24	LCCB
Assistant Manager	LCCB
系长
N Corp. Großhammer	24	N Corp.
Großhammer	N公司
大锤
District <N> Resident	24	District 14 Resident	14区的居民
We reached the next floor. All around us were torture devices, bits of flesh, gore, and dying townsfolk succumbing to pain. The least bearable of all is the periodic whistling	23	We reached the next floor. All around us were torture devices, bits of flesh, gore, and dying townsfolk succumbing to pain. The least bearable of all 	我们到达了下一层。到处都能看见审判官们造出的拷问器具和肉块，还有无法承受痛苦而逐渐死去的卡尔夫镇的居民们。最难以忍受的是时不时传来的不知何人的口哨声。
The Ring Pointillist Student	23	The Ring Pointillist
Student	环指 点彩派
学徒
<TAG> Inflict <N> Offense Level Down	23	[OnSucceedAttack] Inflict 5 Offense Level Down	[OnSucceedAttack] 对目标施加5层攻击等级降低 
If target has <TAG>, deal +<N>% damage	23	If target has [BurstAgility], deal +50% damage	若目标带有[BurstAgility]，则使本硬币造成的伤害+50%
Öufi South Section <N>	23	Öufi South Section 3	Öufi协会 3科
A Certain Every World	23	A Certain Every World	某个所有世界
Gain +<N> <TAG> Count	22	Gain +3 [Vibration] Count	施加3层[Vibration]
<TAG> The final Coin deals +<N>% damage	22	[OnSucceedAttackHead] The final Coin deals +5% damage	[OnSucceedAttackHead] 使本技能最后一枚硬币造成的伤害+5%
<TAG> Inflict <N> <TAG> this turn and next turn	22	[OnSucceedAttack] Inflict 1 [Vulnerable] this turn and next turn	[OnSucceedAttack] 本回合与下回合对目标施加1层[Vulnerable]
Deal +<N>% Damage on Critical Hit	22	Deal +50% Damage on Critical Hit	使本硬币暴击时造成的伤害+50%
The Index Messenger	22	The Index Messenger	食指 传令员
The Master of Hongyuan	22	The Master of Hongyuan	鸿园之主
So That No One Will Cry	21	So That No One Will Cry	因而无人哭泣
Portrait of a Certain Day	21	Portrait of a Certain Day	某日的肖像
Hurting Teddy Bear	21	Hurting Teddy Bear	痛苦泰迪
Gain <N> <TAG> Potency and +<N> <TAG> Count	21	Gain 2 [Breath] Potency and +2 [Breath] Count	增加2级[Breath]强度并获得2层[Breath]
<TAG> Inflict <N> Defense Power Down	21	[WinDuel] Inflict 3 Defense Power Down	[WinDuel] 对目标施加3层破绽 
Left State Councilor	21	Left State Councilor	左议政
Hair Coupon Thief	21	Hair Coupon Thief	理发券小偷
J Corp. Resident	21	J Corp. Resident	J公司居民
Offense Level +<N>, Max HP +<N>%, Damage Dealt +<N>%	20	Offense Level +4, Max HP +10%, Damage Dealt +5%	攻击等级+4，体力上限+10%，造成的伤害+5%
Offense Level +<N>, Defense Level +<N>, Max HP +<N>%, Damage Dealt +<N>%	20	Offense Level +3, Defense Level +3, Max HP +7.5%, Damage Dealt +5%	攻击等级+3，防御等级+3，体力上限+7.5%，造成的伤害+5%
Tier <N> + Tier <N> + Tier <N> => Tier <N>	20	Tier 1 + Tier 1 + Tier 1 => Tier 1	1级 + 1级 + 1级 => 1级
Deal +<N>% damage on Critical Hit	20	Deal +70% damage on Critical Hit	使本硬币暴击时造成的伤害+70%
<TAG> Gain <N> Haste next turn	20	[WinDuel] Gain 2 Haste next turn	[WinDuel] 下回合使自身获得2层迅捷 
<TAG> If this unit has <TAG>, inflict <N> <TAG>	20	[UnBrokenCoinOnSucceedAttack] If this unit has [ReinforcedTattooSpider], inflict 2 [Paralysis]	[UnBrokenCoinOnSucceedAttack] 若自身带有[ReinforcedTattooSpider]，则对目标施加2层[Paralysis]
<TAG> Lower user's Stagger Threshold by <N>	20	[OnSucceedAttack] Lower user's Stagger Threshold by 10	[OnSucceedAttack] 使自身的混乱阈值后移10
District <N> - LC Branch Interior	20	District 4 - LC Branch Interior	4区 脑叶公司支部内某处
Dieci Section <N> Director	20	Dieci Section 4 Director	Dieci协会 4科 科长
You Want To Get Beat? Hurtily	19	You Want To Get Beat? Hurtily?	你想挨打吗？很想？
Gain <N> <TAG> and <N> <TAG>	19	Gain 2 [AttackUp] and 2 [DefenseUp]	获得2层[AttackUp]与2层[DefenseUp]
<TAG> If target has <N>+ <TAG>, Base Power +<N>	19	[WhenUse] If target has 4+ [Laceration], Base Power +2	[WhenUse] 若目标的[Laceration]强度不低于4级，则使本技能的基础威力+2
<TAG> Inflict +<N> Tremor Count	19	[OnSucceedAttackHead] Inflict +2 Tremor Count	[OnSucceedAttackHead] 对目标施加2层震颤 
Welfare Team Clerk	19	Welfare Team Clerk	福利部 文职人员
Ardor Blossom Moth	18	Ardor Blossom Moth	红焰蛾
Spiral of Contempt	18	Spiral of Contempt	轻蔑螺旋
Offense Level +<N>, Defense Level +<N>, Max HP +<N>%	18	Offense Level +2, Defense Level +2, Max HP +5%	攻击等级 +2，防御等级 +2，体力上限 +5%
Defense Level +<N>, Max HP +<N>%	18	Defense Level +3, Max HP +22.5%	防御等级 +3，体力上限 +22.5%
To Claim Their Bones	18	To Claim Their Bones!	骨断！
Defense Line <N>-<N> - <N> Hours	18	Defense Line 23-7 - 1100 Hours	第23-7 防线 11:00
<TAG> Deal +<N>% damage	18	[Encounters]
Deal +2.5% damage	[战斗]
造成伤害量 +2.5%
<TAG> Coin Power +<N> for every <N> <TAG> on target (max <N>)	18	[WhenUse] Coin Power +1 for every 4 [Laceration] on target (max 2)	[WhenUse] 目标的[Laceration]强度每有4级，使本技能的硬币威力+1(最多+2)
<TAG> Inflict <N> random <TAG>	18	[OnSucceedAttack] Inflict 3 random [SinkingWhite]<style="highlight"></style>	[OnSucceedAttack] 随机对目标施加3点[SinkingWhite]<style="highlight"></style>
<TAG> Inflict <TAG> equal to <TAG> spent	18	[OnSucceedAttack] Inflict [SinkingWhite] equal to [BulletLament] spent	[OnSucceedAttack] 根据消耗的[BulletLament]点数对目标施加相应点数的[SinkingWhite]
<TAG> Inflict <N> <TAG> (<N> times per turn)	18	[OnSucceedAttack] Inflict 1 [Vibration] (2 times per turn)<style="highlight"></style>	[OnSucceedAttack] 使目标增加1级[Vibration]强度(每回合最多2次)<style="highlight"></style>
Mysterious Transfer Student	18	Mysterious Transfer Student	不可思议的转校生
Some time later	18	Some time later...	不久之后……
LCE Research Team Lab. Unit	18	LCE Research Team Lab. Unit	LCE研究组 实验楼
Cinq West Section <N>	18	Cinq West
Section 3	Cinq协会 西部3科
Bamboo-hatted Kim's Past <N>	17	Bamboo-hatted Kim's Past 1	金笠的过去 1
Dreaming Electric Sheep	17	Dreaming Electric Sheep	梦中的电子羊
Ardor Blossom Star	17	Ardor Blossom Star	红艳煞
Canto VIII Battle <N>	17	Canto VIII Battle 01	Canto VIII Battle 01
Blade Lineage Mentor	17	Blade Lineage Mentor	剑契组 头领
<TAG> If target has <TAG>, inflict +<N> <TAG> Count	17	[OnSucceedAttack] If target has [Talisman], inflict +3 [Burst] Count	[OnSucceedAttack] 若目标带有[Talisman]，则对目标施加3层破裂 
<TAG> Reduce <TAG> on target by <N>	17	[OnSucceedAttack] Reduce [RicardoBookRaid] on target by 5	[OnSucceedAttack] 使目标的[RicardoBookRaid]层数减少5层
<TAG> Gain <N> Poise	17	[WhenUse] Gain 5 Poise	[WhenUse] 使自身增加5级呼吸法 强度
<TAG> Inflict <N> N Corp’s Nails next turn	17	[OnSucceedAttack] Inflict 1 N Corp’s Nails next turn	[OnSucceedAttack] 下回合对目标施加1层N公司的尖钉 
<TAG> Gain + <N> <TAG> Count	17	[OnSucceedAttack] Gain +<style="highlight">2</style> [Breath] Count	[OnSucceedAttack] 使自身获得<style="highlight">2</style>层[Breath]
Backstreets of District <N>	17	Backstreets of District 21	21区 后巷某处
Mirror Dungeon of the Fathoms	17	Mirror Dungeon of the Fathoms	心象镜像迷宫
Cabins of Mephistopheles	17	Cabins of Mephistopheles	梅菲斯托费勒斯 船舱
Shi Section <N>	17	Shi Section 5	し协会 5科
Who will speak	16	Who will speak?	让哪位罪人发言？
Dongrang, Who Denies All	16	Dongrang, Who Denies All	否定一切的东朗
Deal more damage	16	Deal more damage	造成的伤害增加
Offense Level +<N>, Max HP +<N>%	16	Offense Level +3, Max HP +5%	攻击等级+3，体力上限+5%
Final Power +<N>, Max HP +<N>%	16	Final Power +1, Max HP +5%	技能最终威力+1，体力上限+5%
Offense Level +<N>	16	Offense Level +1	攻击等级 +1
Clash Power +<N>, Offense Level +<N>, Defense Level +<N>, Max HP +<N>%, Damage Dealt +<N>%, Boss Max HP +<N>%	16	Clash Power +1, Offense Level +8, Defense Level +3, Max HP +40%, Damage Dealt +10%, Boss Max HP +30%	拼点威力+1，攻击等级+8，防御等级+3，体力上限+40%，造成的伤害+10%，头目遭遇战体力上限+30%
<TAG> Inflict <N> Nails	16	[OnSucceedAttack] Inflict 3 Nails	[OnSucceedAttack] 对目标施加3层尖钉 
<TAG> Inflict <N> Pallid Noise	16	[OnSucceedAttackHead] Inflict 1 Pallid Noise	[OnSucceedAttackHead] 对目标施加1层苍白的噪音 
