# en	cn	source	id
<color=#ebcaa2>All Sinners</color> lose %{0}/%.	<color=#ebcaa2>全体罪人</color>失去 %{0}/%。	AbEventsResultLog_Refraction3.json	857701_abm_success_1_1
<color=#ebcaa2>{0}</color> loses %{2} {1}/%	<color=#ebcaa2>{0}</color> 减少 %{2} {1}/%	AbEventsResultLog_Refraction3.json	857701_abm_success_1_2
All allies gain {0} for the rest of the Encounter.	本场战斗中的全体友方单位获得{0}。	AbEventsResultLog_Refraction4.json	862901_1_4
All allies gain %{1} {0}/% for this Encounter	本场战斗中全体友方单位获得%{0} {1}/%。	AbEventsResultLog_Refraction4.json	862901_2_3
All allies gain {0} for the rest of the Encounter	本场战斗中的全体友方单位获得{0}	AbEventsResultLog_Refraction4.json	862901_2_4
Gain {0} E.G.O resources for all affinities	获得所有E.G.O资源各{0}个	AbEventsResultLog_Refraction4.json	862902_2_1
Halve all allies' {0} Potency and Count	全体友方单位的{0}强度与层数减半	AbEventsResultLog_Refraction4.json	862903_success_1
Nothing happened.	什么都没有发生	AbEventsResultLog_Refraction4.json	862903_failure_1
<color=#ebcaa2>{0} gains {1} Shield</color>	<color=#ebcaa2>{0} 获得 {1} 护盾</color>	AbEventsResultLog_Refraction5.json	8630_SHIELD
<color=#ebcaa2>All allies fully heal HP and SP</color>	<color=#ebcaa2>全体友方单位恢复全部理智值与体力</color>	AbEventsResultLog_Refraction6.json	956801_1_1
Gain {0} E.G.O resource for all Affinities	获得所有E.G.O资源各{0}个	AbEventsResultLog_Refraction6.json	956801_3_1
- Gain +50% max HP (max 200; excluding Peccatula Invidiae)	- 自身的体力上限+50%(最多200点，不包括嫉妒罪种)	AbEventsResultLog_Refraction6.json	955601_1_2
- Remove the first Stagger Threshold	- 移除自身的第一混乱阈值	AbEventsResultLog_Refraction6.json	955601_1_3
- When hit by Unbreakable Coins, take -20% damage	- 受到来自不可摧毁的硬币的伤害-20%	AbEventsResultLog_Refraction6.json	955101_1_3
- On Hit with Unbreakable Coins, deal +20% damage	- 不可摧毁的硬币命中时，造成的伤害+20%	AbEventsResultLog_Refraction6.json	955101_2_3
Physical Intervention Shield Activated	物理屏蔽力场已激活	AbEventsResultLog_walpu4.json	836601_succeed_1
All allies <color=#00ff9c>heal 30 HP</color>	全体友方单位<color=#00ff9c>恢复30点体力</color>	AbEventsResultLog_walpu4.json	836602_1_1
All allies <color=#80c9ff>heal 30 SP</color>	全体友方单位<color=#80c9ff>恢复30点理智值</color>	AbEventsResultLog_walpu4.json	836602_2_1
All allies <color=#00ff9c>heal 3 HP every turn</color>	全体友方单位<color=#00ff9c>每回合恢复3点体力</color>	AbEventsResultLog_walpu4.json	836602_3_1
All allies <color=#80c9ff>heal 3 SP every turn</color>	全体友方单位<color=#80c9ff>每回合恢复3点理智值</color>	AbEventsResultLog_walpu4.json	836602_3_2
Black Ledger Choice - Save the Civilians.	黑色账簿选项 - 拯救居民。	AbEvents_Mirror4.json	97101201
Rusted Hilt - To wield a blade is to Slash with it	锈蚀的刀柄 判定 - 剑术乃斩击	AbEvents_Mirror4.json	97101301
Fractured Blade Choice - Draw of the Sword	破碎的刀刃 选项 - 拔剑	AbEvents_Mirror4.json	97101401
Broken Blade Choice - Let the sword hang to the side	损坏的刀刃 选项 - 垂剑	AbEvents_Mirror4.json	97101402
Red Tassel Choice - Small fries	红色流苏 选项 - 殃及池鱼	AbEvents_Mirror4.json	97101601
Ragged Bamboo Hat Choice - That's not what matters	破损的斗笠 判定 - 重要的另有其事	AbEvents_Mirror4.json	97101701
Old Dopo Cloak - What's right is right	陈旧的长袍 选项 - 是则是	AbEvents_Mirror4.json	97101702
Take a general, sweeping look around the factory.	整体性地调查工厂。	AbEvents_Mirror4.json	97102101
Take a closer look at the factory owner and the employee.	仔细地调查厂长和员工。	AbEvents_Mirror4.json	97102102
Carnival of La Manchaland	拉·曼却领嘉年华游行	AbEvents_Mirror6.json	97105601
The Carousel	旋转木马	AbEvents_Mirror6.json	97105701
Refracted Sleeping Bag of a Bygone Day	折射的往昔的睡袋	AbEvents_Mirror6.json	97105801
Refracted Four-hundred Roses	折射的四百朵玫瑰	AbEvents_Mirror6.json	97105901
Bamboo-hatted Kim's Past 1	金笠的过去 1	AbEvents_Mirror7.json	97111001
Bamboo-hatted Kim's Past 2	金笠的过去 2	AbEvents_Mirror7.json	97111101
Bamboo-hatted Kim's Past 3	金笠的过去 3	AbEvents_Mirror7.json	97111202
Fairy-Long-Legs	长腿精灵	AbEvents_Refraction2.json	854501
Steam Transport Machine	蒸汽运输机	AbEvents_Refraction2.json	855501
Sign of Roses	玫瑰告示牌	AbEvents_Refraction2.json	85560101
Drenched Gossypium	浸染棉花	AbEvents_Refraction3.json	857801
Spiral of Contempt	轻蔑螺旋	AbEvents_Refraction3.json	85850101
Dreaming Electric Sheep	梦中的电子羊	AbEvents_Refraction4.json	860801
Portrait of a Certain Day	某日的肖像	AbEvents_Refraction4.json	860501
The King in Binds	受缚之王	AbEvents_Refraction4.json	862903
Fell Bullet	凶弹	AbEvents_Refraction5.json	863001
Four-hundred Roses	四百朵玫瑰	AbEvents_Refraction5.json	863301
Rusted Hilt - To wield a blade is to Slash with it	锈蚀的刀柄选项 - 剑术乃斩击	AbEvents_Ycgd.json	1050701
Fractured Blade Choice - Draw of the Sword	破碎的刀刃选项 - 拔剑	AbEvents_Ycgd.json	1050801
Broken Blade Choice - Let the sword hang to the side	损坏的刀刃选项 - 垂剑	AbEvents_Ycgd.json	1050802
Red Tassel Choice - Small fries	红色流苏选项 - 殃及池鱼	AbEvents_Ycgd.json	1050901
Old Dopo Cloak - What's right is right	陈旧的长袍选项 - 是则是	AbEvents_Ycgd.json	1051002
You know your stuff	你很懂行嘛	AbEvents_Ycgd.json	97104901
I gues so	似乎如此	AbEvents_Ycgd.json	97105001
Bamboo-hatted Kim's Past 4	金笠的过去 4	AbEvents_exme.json	1090501
Bamboo-hatted Kim's Past 5	金笠的过去 5	AbEvents_exme.json	1090601
Ardor Blossom Moth Containment Breach	红焰蛾出逃	AbEvents_lcbcheckup-re.json	97110001
Faelantern Containment Breach	精灵提灯出逃	AbEvents_lcbcheckup-re.json	97110101
Post-choice Development	选项后文字	AbEvents_lcbcheckup-re.json	97110302
We're the 'samples'.	我们就是样本。	AbEvents_lcbcheckup.json	97104301
Eat it.	尝尝看。	AbEvents_lcbcheckup.json	97104401
Accept and investigate.	同意调查。	AbEvents_lcbcheckup.json	97104701
Carefully look around.	仔细地观察周围。	AbEvents_lcbcheckup.json	97104801
A W Corp. Cleanup Agent is battling a group of Bloodbags.	一位W公司清扫人员正在与一群血袋战斗	AbEvents_mowe-re.json	97108402
Post-Heishou Choice Development	黑兽选项后	AbEvents_night-clean-up-re.json	97110802
Oddly Familiar Boombox	似曾相识的音响	AbEvents_night-clean-up-re.json	97110901
LCE Recovers The Ring's Artwork - Corporist Piece	回收环指作品的LCE组员们 - 人体派作品	AbEvents_twth.json	97110401
LCE Recovers The Ring's Artwork - Fauvist Piece	回收环指作品的LCE组员们 - 野兽派作品	AbEvents_twth.json	97110402
Gallery of the Ring's School of Fauvism	野兽派环指画廊	AbEvents_twth.json	97110501
Quiet Corridor of the Middle	寂静的中指走廊	AbEvents_twth.json	97110601
Effloresced E.G.O::GasHarpoon	绽放E.G.O::燃气捕鲸叉	AbnormalityGuides-a1c5p3.json	8106
Hindley, The Reaved Lamenter	因被夺取而哭嚎的亨德利	AbnormalityGuides-a1c6p2.json	8165
Peccatulum Pigritiae?	怠惰罪种?	AbnormalityGuides-a1c6p2.json	8159
Peccatulum Gulae?	暴食罪种?	AbnormalityGuides-a1c6p2.json	8160
Peccatulum Irae Type 3	暴怒罪种 3型	AbnormalityGuides-a1c6p3.json	8161
Peccatulum Luxuriae??	色欲罪种??	AbnormalityGuides-a1c7p3.json	8373
Peccatulum Superbiae??	傲慢罪种??	AbnormalityGuides-a1c7p3.json	8374
Hurting Teddy Bear	痛苦泰迪	AbnormalityGuides-a1c7p3.json	8379
Muddled Heishou of the Corpse Palanquin	混觉辒辌黑兽	AbnormalityGuides-a1c8p3.json	1146
Class 3 Peccatulum Pigritiae	怠惰罪种 3型	AbnormalityGuides-a1c9114.json	1080
Class 3 Peccatulum Morositatis	忧郁罪种 3型	AbnormalityGuides-a1c9114.json	1081
Distorted Hohenheim	扭曲的霍恩海姆	AbnormalityGuides-a1c9114.json	1082
Pink Shoes	粉红鞋	AbnormalityGuides-a1c9p1.json	1317
Ebony Queen's Apple	黑檀女王的苹果	AbnormalityGuides-a1c9p1.json	1307
Passenger Bloodbag	乘客血袋	AbnormalityGuides-mowe.json	8349
W Corp. Bloodbag	W公司血袋	AbnormalityGuides-mowe.json	8348
Sasha	萨莎	AbnormalityGuides-mowe.json	8347
Prosthetic Bloodbag	义体血袋	AbnormalityGuides-mowe.json	8346
Cassetti	卡塞蒂	AbnormalityGuides-mowe.json	8350
Mayors, the Yearning Flotsam	梅厄斯，羡望漂流	AbnormalityGuides-pilgrimage.json	1297
The Time Ripper	时间杀人魔	AbnormalityGuides-tkt.json	8278
??-??-??-??	??-??-??-??	AbnormalityGuides-walpu4.json	8363
The Knight of Despair	绝望骑士	AbnormalityGuides-walpu6.json	1223
Peccatulum Morositatis?	忧郁罪种?	AbnormalityGuides-ycgd.json	8152
Peccatulum Irae?	暴怒罪种?	AbnormalityGuides-ycgd.json	8151
Distorted Bamboo-hatted Kim	扭曲的金笠	AbnormalityGuides-ycgd.json	8154
Doomsday Calendar	终末日历	AbnormalityGuides.json	8002
Doomsday Calendar-A	终末日历-A	AbnormalityGuides.json	8003
Peccatulum Gulae	暴食罪种	AbnormalityGuides.json	8005
Peccatulum Pigritiae	怠惰罪种	AbnormalityGuides.json	8006
Peccatulum Irae	暴怒罪种	AbnormalityGuides.json	8007
Golden Apple	金苹果	AbnormalityGuides.json	8008
False Apple	假苹果	AbnormalityGuides.json	8009
Become Strong? Genuinely?	我变强了？真的？	AbnormalityGuides.json	8010
Pink Shoes-A	粉红鞋-A	AbnormalityGuides.json	8013
You Want To Get Beat? Hurtily?	你想挨打吗？很想？	AbnormalityGuides.json	8015
Peccatulum Morositatis	忧郁罪种	AbnormalityGuides.json	8016
Peccatulum Luxuriae	色欲罪种	AbnormalityGuides.json	8017
Peccatulum Superbiae	傲慢罪种	AbnormalityGuides.json	8018
Baba Yaga-A	芭芭雅嘎-A	AbnormalityGuides.json	8019
Baba Yaga-B	芭芭雅嘎-B	AbnormalityGuides.json	8021
Mimicry Corroded	拟态侵蚀者	AbnormalityGuides.json	8024
Feral Mane Corroded	兽鬃侵蚀者	AbnormalityGuides.json	8025
Coil Corroded	蛇手侵蚀者	AbnormalityGuides.json	8028
Kromer	克罗默	AbnormalityGuides.json	8029
Kromer the Attempted Protoplast	欲成原初的克罗默	AbnormalityGuides.json	8030
Headless Ichthys	断首鱼	AbnormalityGuides.json	8031
Alleyway Watchdog	巷头恶犬	AbnormalityGuides.json	8032
S-08-04-01	S-08-04-01	AbnormalityGuides.json	8901
Feral Mane Corroded	野兽鬃毛的侵蚀者	AbnormalityGuides.json	8536
Headchicken a.k.a. Bongy	猎头鸡 a.k.a. 小凤	AbnormalityGuides.json	8034
Papa Bongy	凤老爹	AbnormalityGuides.json	8038
Spiced-up Papa Bongy	香辣凤老爹	AbnormalityGuides.json	8040
Brazen Bull - Tearful	黄铜公牛 - 流泪	AbnormalityGuides.json	8041
Lobotomy E.G.O::Sunshower - Dongbaek	脑叶公司E.G.O::狐雨 - 冬柏	AbnormalityGuides.json	8043
Effloresced E.G.O::Spicebush	绽放E.G.O::山茶花	AbnormalityGuides.json	8044
Dongrang, Who Denies All	否定一切的东朗	AbnormalityGuides.json	8049
Effloresced E.G.O::Farmwatch	绽放E.G.O::司田	AbnormalityGuides.json	8050
kqe-1j-23	Kqe-1j-23	AbnormalityGuides.json	8076
Fairy Queen	精灵女王	AbnormalityGuides.json	8263
Fairy Mass	精灵畸块	AbnormalityGuides.json	8264
Portrait	肖像画	AbnormalityGuides_Refraction4.json	8606
Peccatulum Invidiae	嫉妒罪种	AbnormalityGuides_Refraction4.json	8280
Peccatulum Invidiae?	嫉妒罪种?	AbnormalityGuides_Refraction4.json	8292
Sleeping Bag of a Bygone Day	往昔的睡袋	AbnormalityGuides_Refraction5.json	8632
Der Fluchschütze	凶弹射手	AbnormalityGuides_Refraction5.json	8630
