# 同现实证配对：同一记录内中英直接对应（高置信）
# en	cn	count	source
Alleyway Watchdog Core	巷头恶犬 本体	5	Enemies.json
Not Owned	未拥有	5	EventLCBCheckupText.json
Limbus Company	边狱公司	5	FormationNameEtcFilter.json
The Thumb	拇指	5	FormationNameEtcFilter.json
Identities	人格	5	FormationUI_S6.json
Lunacy	狂气	5	MainUIText.json
Mirror Dungeons	镜像迷宫	5	MainUIText.json
Line 1	1号线	5	MirrorDungeonTheme-1.json
The Dusk of Amber	琥珀色的黄昏	5	MirrorDungeonTheme-1.json
Active Effects	当前效果	5	MirrorDungeonUI_2.json
Starlight	星芒	5	MirrorDungeonUI_2.json
Theme Pack Compendium	主题卡包图鉴	5	MirrorDungeonUI_4.json
Staggered Ah!	自身混乱 啊！	5	PersonalityVoiceDlg/Voice_Faust_Yuri_10203.json
Lost & Found	失物招领处	5	RailwayDungeonUI.json
Refraction Railway Opening	折射轨道 开放	5	RailwayDungeonUI_1001.json
Moses LCD	摩西 LCD	5	ScenarioModelCodes-AutoCreated.json
Walpurgis Night	瓦尔普吉斯之夜	5	SeasonTitle.json
Stab	突刺	5	Skills_Enemy.json
But…	但是……	5	StoryData/3D305B.json
I know.	我知道。	5	StoryData/3D309B.json
After some time...	过了一段时间……	5	StoryData/5D304A.json
<No...>	<不……>	5	StoryData/7D111A.json
... No.	……不。	5	StoryData/7D111A.json
... Huh.	……呵。	5	StoryData/7D112A.json
So...	所以……	5	StoryData/7D112A.json
Daiyu...	黛玉……	5	StoryData/8D105B.json
Oh.	啊。	5	StoryData/E001X.json
Sinners LCB …….	罪人们 LCB ……	5	StoryData/E001X.json
Oh...	啊……	5	StoryData/E514B.json
And...	然后……	5	StoryData/E626B.json
The Hierarch of Hongyuan …!	鸿园的家主 ……！	5	StoryData/E811B.json
Hah.	哈。	5	StoryData/E902B.json
The Manager of La Manchaland …….	拉·曼却领 总督 ……	5	StoryData/P10310.json
LCA Vanguard Team 3 …….	LCA 先锋三队 ……	5	StoryData/P11114.json
싱클레어
남
9월 23일
A
163CM
54KG	辛克莱
男
9月23日
A
163CM
54KG	5	StoryTheaterPersonality.json
Faust
F
September 23rd
A
174CM (5'9")
57KG (130.07lbs)	浮士德
女
9月23日
A
174CM
59KG	5	StoryTheaterPersonality.json
Yi Sang
M
Sep. 23
A
176cm (5'9")
70kg (154.3lbs)	李箱
男
9月23日
A
176CM
70KG	5	StoryTheaterPersonality.json
Outis
F
September 23rd
A
177CM (5'9")
64KG (141.1lbs)	奥提斯
女
9月23日
A
177CM
64KG	5	StoryTheaterPersonality.json
Breaking Records	记录更新	5	TutorialMainUIText.json
You can view your currently deployed Sinners here.	能够确认罪人编队情况。	5	TutorialMainUIText.json
Sinner Status	罪人状态	5	TutorialMainUIText.json
Combat Deployment - Chain Battles	战斗编队-连续战斗	5	TutorialMainUIText.json
Combat - Chain Battles	战斗-连续战斗	5	TutorialMainUIText.json
Chain Battle Encounters	连续遭遇战关卡	5	TutorialMainUIText.json
Team Loadout	编队	5	TutorialMainUIText.json
Easy Difficulty Encounter	简单难度战斗	5	Walpu3EventText.json
Gear Worshipper	齿轮教团信徒	5	Walpu5EventText.json
Yi Sang	李箱	4	Announcer-x1p1c1.json
Ishmael	以实玛利	4	Announcer.json
Don Quixote	堂吉诃德	4	Announcer.json
Red String -	赤丝 -	4	BattleKeywords-a1c9p3.json
Battle Pass	战斗通行证	4	BattlePass.json
5스킬 Return to me.	5스킬 回收。	4	BattleSpeechBubbleDlg-a1c9p2.json
회피 스킬로 실패시 Shit!	闪避技能 失败 呃！	4	BattleSpeechBubbleDlg-a1c9p3.json
I...!	由我亲手……！	4	BattleSpeechBubbleDlg.json
I will unlock you myself!	为您解封！	4	BattleSpeechBubbleDlg.json
Tread the Air, Brandish the Spear (踏空槍零).	踏空枪零。	4	BattleSpeechBubbleDlg.json
Three!	三！	4	BattleSpeechBubbleDlg.json
The gallery's closing hour is here, everyone.	闭馆时间到了啊。	4	BattleSpeechBubbleDlg.json
Resistances	抗性信息	4	BattleUIText.json
Story	故事	4	BattleUIText.json
Event	事件	4	BattleUIText.json
Enter	进入	4	BattleUIText.json
High tide,	涨潮，	4	BgmLyrics/BgmLyrics_Ahab.json
Low tide.	退潮。	4	BgmLyrics/BgmLyrics_Ahab.json
All that remains are vain memories	只剩下空洞的回忆	4	BgmLyrics/BgmLyrics_Credit.json
A long, long ways from right now	在遥远未来的某天	4	BgmLyrics/BgmLyrics_Credit.json
Burning myself up until I’m no more	将自己燃烧殆尽	4	BgmLyrics/BgmLyrics_Credit.json
Without a moment to breathe	没有喘息的空闲	4	BgmLyrics/BgmLyrics_Credit.json
I was thrown into turbulent days	我被卷入这动荡的日子里	4	BgmLyrics/BgmLyrics_Credit.json
I sure wish that I can smile	我真希望自己能够微笑	4	BgmLyrics/BgmLyrics_Credit.json
It’s alright, since I can live on	但没关系，我会活下去	4	BgmLyrics/BgmLyrics_Credit.json
It’s alright	会没事的	4	BgmLyrics/BgmLyrics_Credit.json
A long, long ways from now	在遥远未来的某天	4	BgmLyrics/BgmLyrics_Credit7.json
I am my biggest fan	我是我最大的粉丝	4	BgmLyrics/BgmLyrics_DonQuixote.json
<style="den_CP6_2">Delete	<style="djp_CP6_2">删除	4	BgmLyrics/BgmLyrics_MaouHeath.json
Retry Stage	重试关卡	4	BossRaidUI.json
Max HP {0}%	体力上限{0}%	4	BuffAbilities.json
Life or Death -	生死决断 -	4	Bufs_Refraction5.json
Hard	困难难度	4	DawnOfGreenEventText.json
Normal	一般	4	DawnOfGreenEventText.json
Old Umbrella Core	旧伞 本体	4	Enemies-a1c5p1.json
Umbrella Part	伞 部位	4	Enemies-a1c5p1.json
Sturdy Little Brother of the Middle Core	可靠的中指幼弟 本体	4	Enemies-a1c5p2.json
Stern Little Brother of the Middle Core	严格的中指幼弟 本体	4	Enemies-a1c5p2.json
??? Core	？？？ 本体	4	Enemies-a1c5p3.json
Body KoD Sword Part	躯干 绝望骑士 剑部位	4	Enemies-walpu6.json
Golden Apple Core	金苹果 本体	4	Enemies.json
False Apple Core	假苹果 本体	4	Enemies.json
Guido the Persistent Enemy Unit	执着的圭多 敌方单位	4	Enemies.json
Headchicken a.k.a. Bongy Core	猎头鸡 a.k.a. 小凤 本体	4	Enemies.json
Refracted T Corp. Class 3 Collector Core	折射的T公司3级征收人员 本体	4	Enemies_Refraction2.json
Dimension Part	次元 部位	4	Enemies_Refraction2.json
Gain	增加	4	EventLCBCheckupText.json
Rarity	稀有度	4	Filter.json
Level	等级	4	Filter.json
N Corp.	N公司	4	FormationNameEtcFilter.json
The Fingers	手指	4	FormationNameEtcFilter.json
The Index	食指	4	FormationNameEtcFilter.json
The Middle	中指	4	FormationNameEtcFilter.json
The Pinky	小指	4	FormationNameEtcFilter.json
Façades	外观投影	4	FormationUI_S6.json
Enkephalin	脑啡肽	4	IntroductionPreset.json
Owned	已拥有	4	LobbyBGMUI.json
Close	关闭	4	LoginUIText.json
Clear Rewards	通关奖励	4	MainUIText.json
Pilgrimage of Compassion	善意的巡礼	4	MirrorDungeonTheme-1.json
Mirror Projection / Achievements	镜像投影 / 成就	4	MirrorDungeonUI.json
Starter Buffs	开局增益	4	MirrorDungeonUI_3.json
Rest Bonus	休息奖励	4	MirrorDungeonUI_3.json
[Shops]
Sells higher Tier E.G.O Gifts	[商店]
出现E.G.O饰品等级上升	4	MirrorDungeonUI_4.json
[Encounters]
Deal +2.5% damage	[战斗]
造成伤害量 +2.5%	4	MirrorDungeonUI_4.json
[Encounters]
Take -2.5% damage	[战斗]
受到的伤害 -2.5%	4	MirrorDungeonUI_4.json
Starlight Bonus	星芒奖励	4	MirrorDungeonUI_5.json
Parallel Superposition Mode	平行叠加模式	4	MirrorDungeonUI_5_InfinityFloor.json
E.G.O Gift Search	E.G.O饰品观测	4	MirrorDungeonUI_6.json
Default	基础	4	MirrorDungeonUI_6.json
Selecting E.G.O	选择E.G.O	4	MissionUIText.json
Staggered Mm...	自身混乱 嗯……	4	PersonalityVoiceDlg/Voice_Faust_ShiAsso2_10213.json
Packs	组合包	4	ReturnPolicy.json
Don Quixote Sinner #3	堂吉诃德 3号罪人	4	ScenarioModelCodes-AutoCreated.json
Ishmael Sinner #8	以实玛利 8号罪人	4	ScenarioModelCodes-AutoCreated.json
Gregor Sinner #13	格里高尔 13号罪人	4	ScenarioModelCodes-AutoCreated.json
Vergilius Guide	维吉里乌斯 向导	4	ScenarioModelCodes-AutoCreated.json
Hindley Earnshaw Family	亨德利 恩肖家族	4	ScenarioModelCodes-AutoCreated.json
Linton Edgar Family	林顿 埃德加家族	4	ScenarioModelCodes-AutoCreated.json
The Barber La Manchaland	理发师 拉·曼却领	4	ScenarioModelCodes-AutoCreated.json
Sancho La Manchaland	桑丘 拉·曼却领	4	ScenarioModelCodes-AutoCreated.json
Jia Huan Jia Family	贾环 贾家	4	ScenarioModelCodes-AutoCreated.json
Rien The Index Nursefather	里恩 食指 父辈	4	ScenarioModelCodes-AutoCreated.json
Unobservable ?	无法观测 ?	4	Skills.json
Protoplast’s Wings	原生之翼	4	Skills_Abnormality.json
Proximity Shooting	开始近距摄影	4	Skills_Abnormality.json
[WhenUse] Heal 20 HP Activate HP Bullet	[WhenUse] 使自身恢复20点体力 激活HP弹	4	Skills_Abnormality_Refraction1_bokgak.json
Multi-block	连续招架	4	Skills_Enemy.json
Weave Projection	投影制作	4	SkinUI.json
Then…	随后……	4	StoryData/3D308B.json
Dongbaek League of Nine Littérateurs ……	冬柏 九人会 ……	4	StoryData/4D202B.json
The Indigo Elder ??? …….	靛蓝老人 ？？？ ……	4	StoryData/5D101B.json
Haah.	哈啊。	4	StoryData/5D105A.json
Father …….	亲族 ……	4	StoryData/7D111A.json
After some time passed…	一段时间后……	4	StoryData/7D112A.json
I…	我……	4	StoryData/8D203A.json
<Oh.>	<啊。>	4	StoryData/E001X.json
<... Huh?>	<……嗯？>	4	StoryData/E002X.json
<Huh?>	<嗯？>	4	StoryData/E030X.json
Hm?	嗯？	4	StoryData/E082X.json
Vergilius.	维吉里乌斯。	4	StoryData/E501B.json
... Huh?	……嗯？	4	StoryData/E502B.json
... Mm.	……嗯。	4	StoryData/E513B.json
... Yeah.	……没错。	4	StoryData/E617B.json
<Hm...>	<嗯……>	4	StoryData/E619B.json
But...	然而……	4	StoryData/E627B.json
<Faust.>	<浮士德。>	4	StoryData/E726A.json
The Priest of La Manchaland …….	拉·曼却领 神父 ……	4	StoryData/P10310.json
Inquisitor …….	审判官 ……	4	StoryData/PC06B.json
Dongbaek Technology Liberation Alliance …….	冬柏 技术解放联盟 ……	4	StoryData/S448B.json
I see.	是吗。	4	StoryData/S526A.json
What?	什么？	4	StoryData/S535B.json
Mm…	嗯……	4	StoryData/S806B.json
Mirror Worlds	镜像世界	4	StoryTheaterDanteNote_8.json
Fairy Festival	精灵盛宴	4	StoryTheaterOther.json
뫼르소
남
9월 23일
A
188CM
82KG	默尔索
男
9月23日
A
188CM
82KG	4	StoryTheaterPersonality.json
홍루
남
9월 23일
A
178CM
74KG	鸿璐
男
9月23日
A
178CM
74KG	4	StoryTheaterPersonality.json
히스클리프
남
9월 23일
A
180CM
78KG	希斯克利夫
男
9月23日
A
180CM
78KG	4	StoryTheaterPersonality.json
이스마엘
여
9월 23일
A
171CM
57KG	以实玛利
女
9月23日
A
171CM
57KG	4	StoryTheaterPersonality.json
로쟈
여
9월 23일
A
182CM
65KG	罗佳
女
9月23日
A
182CM
65KG	4	StoryTheaterPersonality.json
그레고르
남
9월 23일
A
167CM
68KG	格里高尔
男
9月23日
A
167CM
68KG	4	StoryTheaterPersonality.json
Meursault
M
September 23rd
A
188CM (6'2")
82KG (180lbs)	默尔索
男
9月23日
A
188CM
82KG	4	StoryTheaterPersonality.json
Gregor
M
September 23rd
A
167CM (5'6")
68KG (149.914lbs)	格里高尔
男
9月23日
A
167CM
68KG	4	StoryTheaterPersonality.json
Story Voice Management	剧情语音管理	4	StoryVoiceSettingUI.json
Creating your Team	编队	4	TutorialMainUIText.json
Selecting Sinners	选择罪人	4	TutorialMainUIText.json
Encounter	战斗	4	TutorialMainUIText.json
The Lost & Found	失物招领处	4	TutorialMainUIText.json
Timekilling Time Obtained from the Timekilling Time event	时间杀人时间 通过时间杀人时间活动获取	4	UserBanner.json
Twining Threads Obtained from the Twining Threads event	绞丝结线 通过绞丝结线活动获取	4	UserBanner.json
Every Catherine's both hands gain %{2} {1}/% for {0} turn(s)	所有凯瑟琳的双手在{0}回合内获得%{2} {1}/%	3	AbEventsResultLog-a1c6p3.json
All allies gain %{1} {0}/% for this Encounter	本场战斗中全体友方单位获得%{0} {1}/%。	3	AbEventsResultLog_Refraction4.json
- Gain +50% max HP (max 200; excluding Peccatula Invidiae)	- 自身的体力上限+50%(最多200点，不包括嫉妒罪种)	3	AbEventsResultLog_Refraction6.json
Ryōshū	良秀	3	Announcer-a1c9p3.json
Outis	奥提斯	3	Announcer-x1p1c1.json
Faust	浮士德	3	Announcer-x1p1c1.json
Dante	但丁	3	Announcer.json
Gregor	格里高尔	3	Announcer.json
Sinclair	辛克莱	3	Announcer.json
Rodion	罗佳	3	Announcer.json
Nelly	耐莉	3	Announcer.json
Hohenheim	霍恩海姆	3	Announcer.json
Hong Lu	鸿璐	3	Announcer.json
Blade Lineage	剑契组	3	AssociationName.json
Kurokumo Clan	黑云会	3	AssociationName.json
Yurodiviye	圣愚	3	AssociationName.json
Take Less Damage Damage Taken -5%	受到的伤害减少强化 受到的伤害 -5%	3	BattleKeywords_Mirror4.json
Mounting Trials	追加的苦难	3	BattleKeywords_Mirror5.json
Free	免费	3	BattlePass.json
3스킬 Gungnir.	3스킬 冈格尼尔。	3	BattleSpeechBubbleDlg-a1c9p2.json
에즈라 모제스 붉은숨 상호작용 Gotcha!!	以斯拉 摩西 红色吐息 互动 是！！！！	3	BattleSpeechBubbleDlg-a1c9p3.json
중지 제자 skill 2 One, two! Three! Hyah!	中指子辈 2技能 一！二！三！哈！	3	BattleSpeechBubbleDlg-a1c9p3.json
산초, 8스킬 Be Impaled.	桑丘，8技能 被刺穿吧。	3	BattleSpeechBubbleDlg-a1c9p3.json
Fire!	开火！	3	BattleSpeechBubbleDlg.json
To Claim Their Bones!	骨断！	3	BattleSpeechBubbleDlg.json
Accelerating!	加速！	3	BattleSpeechBubbleDlg.json
Blood... Blood!	血……血！	3	BattleSpeechBubbleDlg.json
Burn beyond all restraint...	肆无忌惮地……	3	BattleSpeechBubbleDlg.json
GRAHHHHHH!!!	呃啊啊啊啊！！！	3	BattleSpeechBubbleDlg.json
Die, vermin...	你们这些虫豸……	3	BattleSpeechBubbleDlg.json
This time, they will be cloven.	这次就斩割吧。	3	BattleSpeechBubbleDlg.json
Barring entry. Fire!	阻截入侵。开火！	3	BattleSpeechBubbleDlg.json
Arc for the blade, in my sight.	刀路已定。	3	BattleSpeechBubbleDlg.json
Twinslash.	二连。	3	BattleSpeechBubbleDlg.json
Tripleslash. Dispatched.	三连，斩杀。	3	BattleSpeechBubbleDlg.json
Hah... I'll carve the pain upon you myself!	哈……将痛苦……铭刻于你！	3	BattleSpeechBubbleDlg.json
Settings	设置	3	BattleUIText.json
Status	能力值	3	BattleUIText.json
Regular Encounter	常规遭遇战	3	BattleUIText.json
Focused Encounter	集中遭遇战	3	BattleUIText.json
Risky Encounter	危险遭遇战	3	BattleUIText.json
Passives	被动技能	3	BattleUIText.json
Skill Effects	技能效果	3	BattleUIText.json
Suppression Status	镇压情况	3	BattleUIText.json
Off	关闭	3	BattleUIText.json
I sure hope that I can smile	我真希望自己能够微笑	3	BgmLyrics/BgmLyrics_Credit.json
Days of chasing shadows	追逐虚影的旧时光	3	BgmLyrics/BgmLyrics_Credit4.json
Like a fire swept over me	就像火焰灼烧了我	3	BgmLyrics/BgmLyrics_Credit4.json
I've run without rest	我奔跑着，毫不停歇	3	BgmLyrics/BgmLyrics_Credit4.json
The times that choked me	那些曾让我感到窒息的时光	3	BgmLyrics/BgmLyrics_Credit4.json
Will I miss them as well?	到头来也会让我觉得珍贵吗	3	BgmLyrics/BgmLyrics_Credit4.json
With however much time I have left	不论现在还剩下多少时间	3	BgmLyrics/BgmLyrics_Credit4.json
Now I must move forward	我都该向前迈步了	3	BgmLyrics/BgmLyrics_Credit4.json
Like a candle that burns itself up	我须如蜡烛一般	3	BgmLyrics/BgmLyrics_Credit4.json
I hope I can go my way	希望我能够开拓自己的路	3	BgmLyrics/BgmLyrics_Credit4.json
<style="den">¿Who am I?	<style="den">¿我是谁?	3	BgmLyrics/BgmLyrics_DonQuixote.json
(Goodbye, goodbye, goodbye)	（再见，再见，再见）	3	BgmLyrics/BgmLyrics_DongLang.json
(limitless)	（无限）	3	BgmLyrics/BgmLyrics_TianTian.json
Nocturnal Sweeping	深夜清扫	3	BossRaidUI-2.json
Mnestic Experience	经验记忆	3	BossRaidUI-3.json
Active Effects	生效的效果	3	BossRaidUI.json
Progression	流程说明	3	BossRaidUI.json
Total Turns	累计回合数	3	BossRaidUI.json
Reflectrial][lairtcelfeR	映射战斗][斗战射映	3	BossRaidUI.json
Max Speed {0}	最大速度值{0}	3	BuffAbilities.json
All Deployed Identities gain 2 Levels	编队中的所有人格提升2级	3	ChoiceEventEffect.json
Return	返回	3	DanteAbilityUIText_a1c9p3.json
So That No One Will Cry Core	因而无人哭泣 本体	3	Enemies-a1c5p1.json
Drifting Fox Core	流浪狐狸 本体	3	Enemies-a1c5p1.json
Fairy Gentleman Core	绅士精灵 本体	3	Enemies-a1c5p1.json
Fairy Wine Core	精灵酒 本体	3	Enemies-a1c5p1.json
Wine Barrel Part	酒桶 部位	3	Enemies-a1c5p1.json
Giant Leaf Core	巨大的叶子 本体	3	Enemies-a1c5p1.json
Brazen Bull - Tearful Core	黄铜公牛 - 流泪 本体	3	Enemies-a1c5p1.json
Heart of the Townsfolk Core	镇民之心 本体	3	Enemies-a1c5p1.json
Heart Part	心脏 部位	3	Enemies-a1c5p1.json
Blubbering Toad Core	悲泣蟾蜍 本体	3	Enemies-a1c5p1.json
Left Eye Part	左眼 部位	3	Enemies-a1c5p1.json
Right Eye Part	右眼 部位	3	Enemies-a1c5p1.json
Effloresced E.G.O::GasHarpoon Core	绽放E.G.O::燃气捕鲸叉 本体	3	Enemies-a1c5p3.json
Jia Qiu	贾丘	3	Enemies-a1c8p2.json
Fruit of Understanding Enemy Unit	理解的果实 敌方单位	3	Enemies-walpu4.json
BongBong [Orange] Dawn Ordeal - Swarm Movement Prep 1	噗扭扭[橙子味] 黎明考验 - 群体移动准备1	3	Enemies-walpu8.json
BongBong [Orange] Dawn Ordeal - Swarm Movement Prep 2	噗扭扭[橙子味] 黎明考验 - 群体移动准备 2	3	Enemies-walpu8.json
BongBong [Orange] Dawn Ordeal - Swarm Movement Prep 3	噗扭扭[橙子味] 黎明考验 - 群体移动准备 3	3	Enemies-walpu8.json
BunBun [Juicy Squeezer - Orange] Ordeal of Dusk	吱扭扭[橙子味榨汁机] 黄昏考验	3	Enemies-walpu8.json
Body BunBun [Juicy Squeezer - Orange] Body	躯干 吱扭扭[橙子味榨汁机] 躯干	3	Enemies-walpu8.json
Ebony Queen's Apple Core	黑檀女王的苹果 本体	3	Enemies.json
