# en	cn	en_hits	cn_hits	source	id
Continue	继续	253	624	RailwayDungeonUI_2.json	railway_dungeon_2_retry_popup_continue
Memories	记忆	303	574	StageNode91-25.json	912509
The Past	过去	152	724	RailwayDungeonUI_6.json	railway_6_past
The Hierarch of Hongyuan	鸿园的家主	431	440	Passives_Assist-Cultivation.json	940000512
Wrath	暴怒	468	387	Passives.json	1000101
Activate	发动	728	124	DanteAbilityUIText.json	ui_activated
Jia Family	贾家	406	435	UnitKeyword-a1c7p2.json	UnitKeyword_FAMILY_GA
The Thumb	拇指	358	476	StageNode-a1c8p1.json	10812
Offices	事务所	39	791	StoryTheaterDanteNote_2.json	Office
Protection	守护	500	325	BattleKeywords.json	Protection
Prescript	指令	355	466	BattleKeywords-a1c9p1.json	IndexPrescript_Base
Bloodfiends	血魔	176	641	StageNode91-10.json	911008
Run	跑	368	432	ActionEvents.json	10407
The Index	食指	360	437	StageNode-a1c9p3.json	10939
Hard	困难	497	294	MirrorDungeonUI_2.json	hard_difficulty
The City	都市	306	485	StoryTheaterDanteNote.json	City
Bind	束缚	343	441	BattleKeywords.json	Binding
Gloom	忧郁	384	383	Passives.json	1000501
Envy	嫉妒	392	374	Passives.json	1000701
Refraction	折射	275	487	Passives.json	1111021
Heart	心脏	583	173	Enemies-a1c5p1.json	875001
Blade Lineage	剑契组	396	355	ActionEvents_exme.json	10906
The House of Spiders	蜘蛛巢	336	411	StoryTheaterDanteNote_11.json	HouseofSpiders
Gaze	视线	367	377	BattleKeywords-a1c8p3.json	GazeReplica
Past [過去]	过去	0	724	Passives_Abnormality_Refraction6.json	9567010
Person	人类	337	377	Enemies.json	803203
The Nests	巢	18	689	StoryTheaterDanteNote.json	Nest
Heishou Packs	黑兽	17	675	StoryTheaterDanteNote_10.json	Heishou
The Heishou Pack	黑兽	15	675	StageNode91-16.json	911608
Kurokumo Clan	黑云会	324	363	AssociationName.json	associationName_BLACK_CLOUD
Vergilius	维吉里乌斯	307	361	Enemies-a1c6p3.json	9999
Pride	傲慢	339	316	Passives.json	1000601
Resume	继续	23	624	MirrorDungeonUI.json	mirrordungeon_progress
W Corp.	W公司	314	333	StoryTheaterDanteNote_3.json	NestW
The Golden Bough	金枝	199	442	StageNode-a1c6p3.json	10643
Happiness	喜	74	564	BattleKeywords-a1c8p3.json	Honglu_Xi
HARD	困难难度	497	138	MirrorDungeonUI_5.json	mirror_5_battle_reward_card_guide_table_1_desc_0_2
Owned	拥有	81	554	MirrorDungeonUI_6.json	mirror_observation_have_starlight
Tier	稀有度	614	13	MirrorDungeonUI_7.json	mirror_dungeon_ego_gift_sort_by_tier
The Backstreets	后巷	176	451	StoryTheaterDanteNote.json	Backstreet
Distortions	扭曲	103	517	StoryTheaterDanteNote_6.json	Distortion
Lust	色欲	323	290	Passives.json	1000201
Attack Power Up	强壮	276	330	BattleKeywords.json	Enhancement
Floor 4	4层	8	598	MirrorDungeonUI_4.json	mirror_battle_reward_card_guide_table_1_desc_4_0
Understanding	理解	104	500	BattleKeywords-walpu4.json	VioletUnderstand
Enter	进入战斗	378	219	MirrorDungeonUI_6.json	mirror_hidden_stage_information_enter_button
Rest	安息	555	32	EGOgift_walpu4.json	9750
Unlock	解放	235	347	BattleKeywords-a1c9p2.json	UnlockBuff_Base
Damage Up	伤害强化	235	337	BattleKeywords.json	AttackDmgUp
Return	返回	492	64	DanteAbilityUIText_a1c9p3.json	danteAbilityButton_resume
Corrosion	侵蚀	222	328	Passives_Abnormality-walpu4.json	836601
Hard	Hard	497	52	MirrorDungeonUI_5.json	mirror_dungeon_hard_difficulty
Offense Level Up	攻击等级提升	296	246	BattleKeywords.json	AttackUp
Gluttony	暴食	260	279	Passives.json	1000401
Easy	简单	269	269	MirrorDungeonUI_4.json	easy_difficulty_simple
Face	面部	527	10	Enemies.json	800203
Binding	纽带	521	13	StageNode1-4.json	10451
The Pinky	小指	246	282	StageNode-a1c9p3.json	10940
Bonus	星芒	387	126		
Sloth	怠惰	251	260	Passives.json	1000301
The LCE	LCE	59	452	StoryTheaterDanteNote_9.json	LCE
Cost	经费	284	223	MirrorDungeonUI_5.json	mirror_start_buff_purchase_modal_exchanged_cost
Ticket	券券	457	47	StageNode-a1c9p3.json	10942
The Golden Boughs	金枝	62	442	StoryTheaterDanteNote.json	Goldenbranch
Jade	玉	53	449	Enemies-a1c8p3.json	115301
Haste	迅捷	238	262	BattleKeywords.json	Agility
Normal	普通	273	220	MirrorDungeonUI_2.json	normal_difficulty
Thread	纺锤	318	172	Items.json	201
Mirror Refraction	折射	1	487	Bufs_Refraction2.json	RailLine2Buff
Kromer	克罗默	234	249	AbnormalityGuides.json	8029
Flesh	血肉	391	89	Enemies_Refraction2.json	855602
Waiting	等待	279	197	StageNode-a1c9p3.json	10946
Fairy	精灵	227	248	Enemies_Refraction2.json	854901
Gaze	凝视	367	103	BattleKeywords.json	MarkOfHeresy
Run.	跑	37	432	ActionEvents.json	1040701
The Corridor	走廊	72	397	StageNode-a1c6p1.json	10614
Mirror Dungeons	镜像迷宫	73	395	StoryTheaterDanteNote_4.json	MirrorDungeon
Observation	观察	171	291	Passives_Abnormality-a1c9p3.json	137801
LCC	LCC	20	436	UnitKeyword.json	UnitKeyword_LIMBUS_COMPANY_LCC
Wuthering Heights	呼啸山庄	219	236	StageNode-a1c6p1.json	10601
Loadout	编队	91	362	MirrorDungeonUI_5_InfinityFloor.json	mirrordungeon_mission_category_title_MIRROR_DUNGEON5_DECK
The LCC	LCC	11	436	StoryTheaterDanteNote.json	LCC
Les Clous	钉	1	442	UnitKeyword-exem.json	UnitKeyword_N_CORP_LENSMAN
Rage	暴怒	51	387	BattleKeywords.json	Anger
Free	免费	335	98	BattlePass.json	battlepass_free
Syndicate	帮派	103	322	UnitKeyword.json	UnitKeyword_CLAN
R Corp.	R公司	206	216	StoryTheaterDanteNote_3.json	NestR
Dimension	次元	104	317	Enemies_Refraction2.json	856001
Lobotomy Corporation	脑叶公司	46	374	StoryTheaterDanteNote_2.json	LobotomyCorp
Mephistopheles	梅菲斯托费勒斯	175	243	StoryTheaterDanteNote_4.json	Mepis
Wei	卫	137	278	Enemies-cultivation.json	1247
Defense Level Down	防御等级降低	195	217	BattleKeywords.json	DefenseDown
Catherine	凯瑟琳	146	262	StageNode-a1c6p1.json	10610
Possibilities	可能性	149	257	StageNode1-0.json	10004
Paralyze	麻痹	180	223	BattleKeywords.json	Paralysis
The Kurokumo Clan	黑云会	38	363	StoryTheaterDanteNote.json	Kurokumo
Grasp	掌	62	336	BattleKeywords-a1c8p3.json	GraspReplica
Dark Cloud	黑云	12	386	BattleKeywords.json	BlackCloud
Technology Liberation Alliance	技术解放联盟	214	184	StageNode1-4.json	10417
Section 3	第3区段	367	25	RailwayDungeonUI_4.json	railway_dungeon_4_section_3_lost_and_found
Hohenheim	霍恩海姆	166	226	StageNode91-14.json	911404
The Blade Lineage	剑契组	32	355	StoryTheaterDanteNote.json	Swordgroup
Tremor Burst	震颤引爆	174	211	BattleKeywords.json	VibrationExplosion
Dawn Office	黎明事务所	210	175	BattleKeywords.json	DawnTeam
Limbus Company	边狱公司	164	218	StoryTheaterDanteNote.json	Limbuscompany
LCA	LCA	188	189	UnitKeyword.json	UnitKeyword_LIMBUS_COMPANY_LCA
Yurodiviye	圣愚	75	301	AbEvents-tktRe.json	1081601
Nagel und Hammer	钉与锤	182	191	MirrorDungeonTheme-1.json	1006
Refraction Railway	折射轨道	167	204	RailwayDungeonUI.json	mirror_refraction_railway
Fear	恐惧	195	175	BattleKeywords.json	Scared
Device	装置	171	199	Enemies-pilgrimage.json	129901
E.G.O Gear	E.G.O装备	169	200	UnitKeyword.json	UnitKeyword_EGO_EQUIPMENT
Care	悉心照料	365	2	Passives_Abnormality.json	826401
Butterfly	蝶	146	220	BattleKeywords-walpu4.json	SinkingWhite
Collection	收集	151	214	MirrorDungeonUI_5_InfinityFloor.json	mirrordungeon_mission_category_title_MIRROR_DUNGEON5_COLLECTION
Walpurgis Night	瓦尔普吉斯之夜	177	187	SeasonTitle.json	season_9101_walpurgisnacht
Syndicates	帮派	41	322	StoryTheaterDanteNote.json	Organization
Yuri	尤莉	174	182	StageNode1-1.json	10105
The Wings	翼	36	320	StoryTheaterDanteNote.json	Wings
Enkephalin	脑啡肽	171	184	StageNode1-1.json	10104
Gifts	饰品观测	340	13		
Buy	购买	92	260	BattlePass.json	buy_battlepass_word
Karmic Consequence	业	18	330	BattleKeywords-a1c9p1.json	KarmaOfIndexAlly
Close	关闭	288	58	MirrorDungeonUI_6.json	mirror_dungeon_finished_panel_preview_version_confirm_button
The Future	未来	83	255	RailwayDungeonUI_6.json	railway_6_future
E.G.O Corrosion	E.G.O侵蚀	165	171	Bufs.json	EgoErode
Encounters	战斗次数	334	1	MirrorDungeonUI_3.json	number_of_battles
Shop	商店	126	207	MirrorDungeonUI_2.json	dungeon_encounter_guide_mirror_shop
Section 4	第4区段	310	20	RailwayDungeonUI_4.json	railway_dungeon_4_section_4_lost_and_found
Hardblood	硬血	185	137	BattleKeywords-a1c7p3.json	BloodArmor
Anamnaworm	虫	28	294	StoryTheaterDanteNote_11.json	Anamnaworm
Curse	诅咒	187	131	BattleKeywords.json	Curse
Contempt	轻蔑	153	164	BattleKeywords-a1c8p3.json	ContemptReplica
Baoyu, the Precious Jade	宝玉	0	317	Enemies-a1c8p3.json	1153
Jia Xichun	贾惜春	138	178	StageNode-a1c8p1.json	10814
Hammer	铁锤	305	10	EGOgift_StoryDungeon.json	1049
The Inquisitor	审判官	36	276	StageNode91-20.json	912006
Workshops	工坊	23	287	StoryTheaterDanteNote_5.json	Armory
Nagel	尖钉	185	122	EGOgift_StoryDungeon.json	1050
NORMAL	普通难度	273	34	MirrorDungeonUI_5.json	mirror_5_battle_reward_card_guide_table_1_desc_0_1
Cinq Association	Cinq协会	44	261	StoryTheaterDanteNote_2.json	Cinq
Offense Level Up	攻击等级强化	296	8	BattleKeywords_Mirror3.json	MDHcFbBa
S Corp.	S公司	157	147	StoryTheaterDanteNote_6.json	NestS
Monsters	怪物	94	205	StoryTheaterDanteNote_5.json	Creature
Peccatula	罪种	103	195	StoryTheaterDanteNote_6.json	Peccatula
Defense Level Up	防御等级提升	139	158	BattleKeywords.json	DefenseUp
Cycle	巡回	176	121	Bufs.json	RailBuffForLine2_A_ENEMY
Aggro	挑衅值	206	89	BattleKeywords.json	Aggro
Keen Observation	观察	3	291	Passives.json	1020121
Acute Studies	观察	1	291	Passives.json	1010201
Backup	待命人员	172	117	RailwayDungeonUI_4.json	formation_waiting_character
Bamboo-hatted Kim	金笠	91	198	StageNode91-7.json	910711
LCD	LCD	139	149	UnitKeyword-a1c9p2.json	UnitKeyword_LIMBUS_COMPANY_LCD
The Beast	野兽	11	276	StageNode-a1c6p2.json	10634
Student	学徒	185	101	UnitKeyword.json	UnitKeyword_RING_FINGER_STUDENT
Sum	总计	211	71	MirrorDungeonUI_6.json	mirror_finished_panel_mirror_pass_detail_total
Pirates	海盗	126	156	StageNode-a1c5p1.json	10516
Ammo	弹药	136	143	BattleKeywords.json	Bullet
Assist [援]	援	0	279	BattleKeywords.json	CheerUpXichun
Normal	Normal	273	1	MirrorDungeonUI_5.json	mirror_dungeon_easy_difficulty
Guaranteed	确定	31	242	MirrorDungeonUI_4.json	confirmed
Hard Difficulty	困难难度	135	138	MirrorDungeonUI_6.json	mirror_starlight_result_dungeon_play_point_tooltip_item_hard_difficulty
Regular	常规	190	81	BattlePass.json	battlepass_mission_tag_normal
Starlight	星芒	145	126	MirrorDungeonUI_2.json	mirror_dungeon_start_buffs_chip_name
Hole	洞	68	201	StageNode1-4.json	10428
Talisman	符咒	167	100	BattleKeywords.json	Talisman
Chain	连续	146	121	RailwayDungeonUI_4.json	formation_baton_continue
Butlers	管家	57	210	StageNode-a1c6p1.json	10611
Potentialities	可能性	9	257	EGOgift_MirrorDungeon_7.json	9232
Wings	翅膀	174	92	Enemies_Refraction3.json	857702
Alliance	同盟	251	14	StageNode91-16.json	911612
Designate Target	指定目标	2	261	Passives.json	1011321
Tears	眼泪	206	54	BattleKeywords.json	Blue
The Cleanup Agent	清扫人员	3	256	StageNode91-10.json	911009
LCB	LCB	121	138	UnitKeyword.json	UnitKeyword_LIMBUS_COMPANY_LCB
Marked	标记	128	130	BattleKeywords.json	Target
Nails	尖钉	136	122	BattleKeywords.json	NailPersonality
The Big Brother	幼兄	37	219	Passives-BossRaid.json	500108
Araya	阿赖耶	93	163	StageNode-a1c9p3.json	10941
Future [未來]	未来	0	255	Passives_Abnormality_Refraction6.json	9567030
Shi Family	史家	117	138	UnitKeyword-a1c8p2.json	UnitKeyword_FAMILY_SA
90%	90%	0	253	MirrorDungeonUI_4.json	new_ego_gift_combine_guide_table_1_desc_2_1
Reset	重置	140	113	MirrorDungeonUI_6.json	mirror_dungeon_observation_filter_reset
The Index Nursefather	食指 父辈	133	120	Passives.json	1011504
Corpse	尸体	72	180	KeywordDictionary.json	body
Attack Power Down	虚弱	109	142	BattleKeywords.json	Reduction
Desire	欲望	138	112	Enemies.json	806001
Rosespanner Workshop	玫瑰扳手工坊	122	126	UnitKeyword.json	UnitKeyword_TROUBLE_SHOOTER
The Pequod	裴廓德号	119	127	UnitKeyword.json	UnitKeyword_PEQUOD_CREW
Sancho	桑丘	90	154	Enemies-a1c7p3.json	8380
The Great Lake	大湖	89	155	StoryTheaterDanteNote_5.json	GreatPond
Cold	寒冷	206	37	BattleKeywords-pilgrimage.json	ColdAirDOQ
Into Full Bloom	绽放	1	242	Passives_Abnormality.json	804401
MultiCrack Office	多裂纹事务所	121	121	StageNode91-10.json	911005
Smoke	烟气	206	32	BattleKeywords-walpu5.json	Smoke
G Corp.	G公司	113	125	KeywordDictionary.json	Gcorp
Ambush	袭击	36	200	StageNode91-16.json	911604
Jia Baoyu	贾宝玉	100	132	StageNode-a1c8p1.json	10806
Tree	树	73	157	Enemies.json	806101
Superiority	优势	11	216	Passives_Abnormality-a1c6p3.json	817101
Lobotomy Corp. Branch	脑叶公司支部	72	154	UnitKeyword.json	UnitKeyword_LOBOTOMY_BRANCH
Egoshards	自我碎片	54	171	Items.json	5
Not Enough Cost	经费	2	223		
Ahab	亚哈	99	125	ActionEvents-a1c5p3.json	810601
Jia Qiu	贾丘	80	144	BattleKeywords-a1c8p2.json	Qiu_LowMorale
Anxiety	不安	36	188	Passives_Abnormality_Refraction2.json	856801
The Duel	决斗	21	203	StageNode91-16.json	911602
Power Down	威力降低	183	39	BattleKeywords.json	ResultReduction
L Corp.	L公司	122	100	StoryTheaterDanteNote.json	NestL
Zwei Association	Zwei协会	23	199	StoryTheaterDanteNote_8.json	ZweiAsso
Kindred	眷属	97	124	UnitKeyword-a1c7p1.json	UnitKeyword_DEPENDENT
Shell	壳	73	147	Enemies-a1c5p3.json	810101
Umbrella	伞	93	126	Enemies-a1c5p1.json	874301
Fuse	合成	79	139	MirrorDungeonUI_3.json	combine
Casino	赌场	84	134	StageNode1-2.json	10201
Liu Association	六协会	36	180	StoryTheaterDanteNote_2.json	LiuAsso
Docent	讲解员	106	110	UnitKeyword.json	UnitKeyword_RING_FINGER_DOCENT
Needle	针	44	171	BattleKeywords.json	NiddleEGO
Entanglement	纠缠	56	158	BattleKeywords.json	SojiRyoshuEchoPast
The LCA	LCA	24	189	StoryTheaterDanteNote_6.json	LCA
School of Fauvism	野兽派	14	198	UnitKeyword.json	UnitKeyword_RING_FINGER_FAUVISM
Refraction Railways	折射轨道	6	204	StoryTheaterDanteNote_4.json	MirrorSubway
Safety Team	安保部	102	107	ActionEvents-walpu4.json	971033
Vengeance	报复	164	44	BattleKeywords-a1c5p2.json	AaCePbBe
Duello	决斗	3	203	Passives_Abnormality-a1c9p1.json	130601
Mental Awakening	觉醒	2	201	BattleKeywords-cultivation.json	DrunkAwakening
"It"	鬼	0	201	BattleKeywords_Refraction6.json	TagGameBuff
Twinhook Pirates	双钩海盗团	105	96	UnitKeyword.json	UnitKeyword_DUAL_HOOK_PIRATE
Weak Morale	士气低落	1	199	Passives_Enemy.json	90004
Despair	绝望	78	120	BattleKeywords-walpu6.json	DespairAlly
Hatred	憎恶	109	89	Bufs-a1c6p2.json	AaCfPbBi
Clash Power Up	拼点威力提升	104	93	BattleKeywords-tkt.json	ParryingResultUp
Faith	信念	144	53	EGOgift_MirrorDungeon.json	9081
Heishou Pack - Mao Branch	黑兽 - 卯	0	197	UnitKeyword.json	UnitKeyword_BLACK_BEAST_RABBIT
Offense Level Down	攻击等级降低	98	98	BattleKeywords.json	AttackDown
Running	溃退	194	2	Bufs.json	Run_LowMorale
Buffs	增益	100	96	RailwayDungeonUI_5.json	railway_5_ally_buff
Edgar Family	埃德加家族	97	99	UnitKeyword.json	UnitKeyword_LINTON
Night Awls	夜锥组	98	97	UnitKeyword.json	UnitKeyword_NIGHTSTILETTO
Nail and Hammer	钉与锤	3	191	EGOgift_MirrorDungeon_7.json	9252
Lunacy	狂气	94	100	Items.json	3
Backup	掩护	172	22	Passives.json	1050121
The LCD	LCD	44	149	StoryTheaterDanteNote_6.json	LCD
Bloodbag	血袋	60	132	Passives_Enemy-a1c7p1.json	9015207
Determined	觉悟	147	43	BattleKeywords.json	Choice_9010400101
P Corp.	P公司	87	103	StoryTheaterDanteNote_8.json	NestP
Doubt	猜疑	176	13	StageNode-a1c9p1.json	10910
Struggle	挣扎	79	109	BattleKeywords.json	Choice_90103301
Levelheaded	冷静	22	165	Passives.json	1110201
The LCB	LCB	49	138	StoryTheaterDanteNote.json	LCB
Coffin	棺	88	98	BattleKeywords.json	Coffin
Theme Pack	主题卡包	67	119	MirrorDungeonUI_5.json	mirror_card_pack
Yearning	渴望	70	115	Passives_Abnormality_Refraction5.json	863303
The Adept	魁首	3	182	StageNode91-19.json	911908
Agitated	愤怒	11	173	Bufs.json	Anger_LowMorale
The Assistant	助手	7	175	StageNode91-14.json	911405
H Corp.	H公司	87	95	StoryTheaterDanteNote_10.json	NestH
Lobotomy E.G.O	脑叶公司E.G.O	90	90	Passives_Abnormality.json	804305
Basement	地下室	76	104	StageNode91-25.json	912510
Starlight	星芒奖励	145	34	MirrorDungeonUI_3.json	starlight_reward
The Backdoor	后门	55	124	StoryTheaterDanteNote_4.json	Backdoor
Growing	生长	115	61	BattleKeywords.json	DongbaekGrow
Audience	观众	82	93	StageNode-a1c9p2.json	10923
Poised	冷静	9	165	Passives.json	1010301
Colours	颜色	5	169	StageNode-a1c6p1.json	10605
Prey	猎物	103	70	BattleKeywords-BossRaid.json	Prey_leiheng
Hunger	饥饿	87	86	BattleKeywords-a1c7p1.json	FamineBlood_LowMorale
Resentment	仇怨	92	81	BattleKeywords.json	Resentment
Clears	清剿	30	143	MirrorDungeonUI_5_InfinityFloor.json	mirrordungeon_mission_category_title_MIRROR_DUNGEON5_CLEAR
Resentment	怨恨	92	78	BattleKeywords-exme.json	Aengdu_Lowmorale
Discard	丢弃	86	83	BattleKeywords.json	Discard
Hidden	隐藏	67	102	MirrorDungeonUI_6_Achievement.json	mirrordungeon_mission_category_title_MIRROR_DUNGEON6_HIDDEN
Taboo	禁忌	64	105	StageNode1-3.json	10304
Tingtang Gang	豆豆帮	50	119	UnitKeyword.json	UnitKeyword_KONG_KONG
Cassetti	卡塞蒂	79	89	AbnormalityGuides-mowe.json	8350
Jia Mu	贾母	93	75	Enemies-a1c8p3.json	1146
Focus	聚气	163	4	Passives_Abnormality-a1c8p2.json	114105
The Waves	浪潮	64	103	StageNode-a1c5p1.json	10518
Completed	达成	98	68	MirrorDungeonUI_6.json	mirror_select_constraint_slot_achievement
Full-Stop Office	句点事务所	84	82	UnitKeyword-a1c7p1.json	UnitKeyword_FULL_STOP
Los Mariachis	流浪乐队	66	100	UnitKeyword.json	UnitKeyword_MARIACHI
Threadspinning	异想解析	66	98	StoryTheaterDanteNote_3.json	AbnormalityInterpret
Blazing	燃烧	20	143	BattleKeywords.json	MatchesPersonality
Regenerate	再生	19	144	BattleKeywords_Refraction2.json	DecoyRegenerated
The Fingers	手指	29	134	StageNode-a1c9p1.json	10916
Decaextraction Ticket	十连提取券	83	78	Items.json	102
60%	60%	0	161	MirrorDungeonUI_4.json	new_ego_gift_combine_guide_table_1_desc_1_1
Effloresced E.G.O	绽放E.G.O	77	83	StoryTheaterDanteNote_13.json	EffEGO
Nelly	耐莉	69	90	AbEvents-a1c6p3.json	817101
Thorns	荆棘	41	118	BattleKeywords-a1c7p2.json	ThornyFall_LowMorale
The Barber	理发师	75	84	Enemies-a1c7p3.json	8395
Available	可用	124	35	MirrorDungeonUI_6.json	mirror_dungeon_available_starlight
